caller	gr_set	gr_rich_threshold	pct_fg	pct_bg	or_fisher	ci_lo	ci_hi	p_fisher	or_adj	adj_lo	adj_hi	p_adj	or_post	cri_lo	cri_hi	p_or_gt1
hicexplorer	human_dex	1	43.685082041246424	47.42642748270606	0.8599205028018954	0.8164538034119163	0.9056524562112666	8.912857181994498e-9	0.7682277089578393	0.7281897683904818	0.8104670491526846	4.671044342101877e-22	0.859942828086654	0.8166485631498313	0.9052700788309586	0
hicexplorer	iWAT_repro	29	24.11561041698028	51.80755852581389	0.29562476863498044	0.2785584558610347	0.3136149010289335	0	0.2531634311617082	0.23808849793094708	0.2691928565829229	0	0.29563730375158953	0.2786016982629561	0.31341128112883093	0
hicexplorer	iWAT_union	49	24.88333584223995	52.85105717747294	0.2955283971930195	0.27862938576643487	0.3133381175194969	0	0.24443208349054782	0.22988746126866175	0.2598969213449435	0	0.29555468728402057	0.278731218162364	0.3131881981626851	0
hicexplorer	eWAT_union	52	24.49194640975463	52.98589127291203	0.28781121131950566	0.2712798447823992	0.3052691347204581	0	0.24706612037421036	0.2324513895868402	0.26259971147197464	0	0.2878349641985233	0.2714164206046845	0.3051766159862194	0
hicexplorer	eWAT_repro	27	23.679060665362034	52.58334310391996	0.27977776098434554	0.26353931806665226	0.2969155510391359	0	0.24885485406161098	0.2341187114604575	0.264518534224401	0	0.27978897745126413	0.26364075221250094	0.29684141606187286	0
insulation	human_dex	1	49.21992199219922	49.89776644013008	0.9732422658802369	0.924506953062442	1.024549699390107	0.30371980603924514	0.7848959005470456	0.7433843190629332	0.8287255446444296	2.4056794128684224e-18	0.9732522302744158	0.9249021627666255	1.0242685200301413	0.148575
insulation	iWAT_union	50	27.962796279627963	52.66294082137363	0.3489208063635763	0.3296888498596774	0.3691962749639104	0	0.26163761241450084	0.24630611185712703	0.27792343321820734	0	0.3489213309566588	0.3298144388163715	0.3690467204147362	0
insulation	iWAT_repro	29	28.022802280228024	52.799252234533526	0.3480524686021356	0.32885386047301796	0.368285527286674	0	0.27552137152706063	0.2595838114504193	0.29243744339832156	0	0.34806184723931055	0.3289422313512106	0.3680805689444654	0
insulation	eWAT_union	54	26.567656765676567	52.17611434580258	0.33162435741930235	0.31303839302197584	0.35119386986069023	0	0.26839194442799863	0.2527597868676964	0.28499088690697155	0	0.33166278018642803	0.31321936902565445	0.35106658178682865	0
insulation	eWAT_repro	28	24.82748274827483	51.48482075049169	0.31122912669216696	0.29342941887874585	0.32996309888472436	0	0.2679821903816962	0.25229752665065164	0.28464192778715125	0	0.3112229744685525	0.29356214972542716	0.32991716151092265	0
