Group,Controls,Cushing's
Age,44.13 ± 16.03,46.35 ± 15.96
BMI,28.68 ± 7.20,34.97 ± 14.37
Female,"18,780 (81.50%)",247 (80.72%)
Male,"4,263 (18.50%)",59 (19.28%)
White,"20,330 (88.23%)",264 (86.27%)
Black,840  (3.65%),18  (5.88%)
Hispanic or Latino,765  (3.32%),9  (2.94%)
Other,555  (2.41%),9  (2.94%)
Asian,553  (2.40%),6  (1.96%)
