Group,Controls,Cushing's
Age,44.72 ± 15.73,46.26 ± 15.53
BMI,29.33 ± 7.52,34.72 ± 13.78
Female,"6,079 (81.81%)",287 (79.94%)
Male,"1,352 (18.19%)",72 (20.06%)
White,"6,383 (85.90%)",313 (87.19%)
Black,372  (5.01%),19  (5.29%)
Hispanic or Latino,354  (4.76%),10  (2.79%)
Other,174  (2.34%),9  (2.51%)
Asian,148  (1.99%),8  (2.23%)
