Variable,"Control, BMI < 30","Cushing's, BMI < 30","Control, BMI > 30","Cushing's, BMI > 30",p.value
n,4469,127,2962,232,
BMI,24.47 +/- 3.26,25.91 +/- 3.16,36.67 +/- 6.02,39.54 +/- 14.92,0
Age,44.04 +/- 16.38,46.8 +/- 17.27,45.74 +/- 14.65,45.97 +/- 14.52,1.4595208732316186e-4
Female,3655 (81.8%),92 (72.4%),2424 (81.8%),195 (84.1%),0.04197469234843784
Male,814 (18.2%),35 (27.6%),538 (18.2%),37 (15.9%),
White,3850 (86.1%),105 (82.7%),2533 (85.5%),208 (89.7%),1.3135310044770979e-16
Black,168 (3.8%),7 (5.5%),204 (6.9%),12 (5.2%),
Hispanic or Latino,200 (4.5%),6 (4.7%),154 (5.2%),4 (1.7%),
Other,120 (2.7%),3 (2.4%),54 (1.8%),6 (2.6%),
Asian,131 (2.9%),6 (4.7%),17 (0.6%),2 (0.9%),
