Name	Description	sample12101	sample12104	sample12105	sample12109	sample12110	sample12112	sample12115	sample12119	sample12120	sample12121	sample12127	sample12100	sample12102	sample12103	sample12107	sample12108	sample12111	sample12113
ACVR1C	ENSG00000123612	230.0088055	205.8127278	171.418047	209.950057	349.4887975	496.7839067	257.9025049	171.9146199	194.6547882	242.1899999	255.8659696	308.8035576	397.0856977	888.5804648	845.1315158	1223.401222	562.7625915	1023.463168
BAG4	ENSG00000156735	119.717698	110.216652	119.7861052	142.3390217	160.9632947	121.3076982	137.397841	180.9153853	103.8158871	116.8903125	145.994112	143.3121483	189.9520525	254.8055768	325.9792989	307.6441489	188.9811971	251.9444772
ADRB3	ENSG00000188778	8.483931351	8.997277718	24.7833321	0.889618886	1.10248832	4.813797546	2.252423623	15.30130124	2.780782689	1.681875	1.505093939	1.706097003	53.45384393	57.22328631	36.21992211	44.84608584	25.08599962	44.11479173
STAU2-AS1	ENSG00000253302	64.10081465	74.22754118	81.57846816	74.7279864	71.66174081	93.38767239	70.95134413	77.40658277	50.98101597	88.29843748	79.76997875	93.83533518	186.1339208	234.2915685	296.4667698	236.7873332	98.67159851	157.8329215
CCNE1	ENSG00000105173	5.655954234	7.872618003	7.228471863	5.337713314	8.819906561	6.739316564	9.009694493	2.700229631	6.488492941	8.409374998	6.020375755	12.79572752	11.45439513	16.19526971	33.53696491	22.42304292	15.05159977	23.52788892
RP11-941H19.3	ENSG00000253238	191.3597849	196.8154501	71.25207979	242.8659558	155.4508531	50.06349448	112.6211812	155.7132421	164.0661787	113.5265625	215.9809802	76.77436515	49.63571222	15.11558506	48.29322947	70.85681563	66.89599899	62.74103713
AL139819.1	ENSG00000256545	1949.418893	2285.30854	3999.410218	5391.090448	5006.399462	3004.772428	5169.312215	2187.186001	3667.852367	2778.457499	6980.625687	15680.73756	10699.35958	28474.5232	48307.98574	49258.04376	7204.699091	25170.91983
GPR64	ENSG00000173698	144.226833	116.9646103	92.93749538	96.07883966	201.7553626	182.9243067	95.72800399	104.4088791	130.6967864	145.4821875	119.6549681	141.6060513	237.6786989	465.344083	292.442334	384.7794165	218.2481967	348.0166903
STARD4-AS1	ENSG00000246859	255.4605996	170.9482766	134.2430489	233.0801481	278.929545	157.8925595	219.6113033	135.0114816	168.7008165	200.9840624	188.8892893	363.3986617	436.2215478	491.2565145	829.0337726	453.8423887	287.6527957	409.7773987
RP11-283C24.1	ENSG00000264215	54.67422426	82.10015918	115.6555498	161.0210183	142.2209933	75.09524172	153.1648064	43.2036741	98.25432169	79.88906248	232.5370135	464.9114334	292.0870757	621.8983569	1204.64778	1051.192252	201.524197	717.6006122
PTPN3	ENSG00000070159	130.0869474	66.35492317	125.9819382	94.29960189	233.7275239	199.2912184	119.378452	107.1091087	88.05811849	90.82124998	130.1906257	139.0469058	248.1785611	378.9693112	458.78568	374.0163559	199.015597	351.9380051
ENPP5	ENSG00000112796	15.08254462	6.747958289	8.2611107	12.4546644	17.63981312	20.21794969	11.26211812	10.80091853	14.83084101	11.773125	12.04075151	11.94267902	35.31771831	58.30297096	37.5614007	34.97994695	28.43079957	29.40986115
COL8A1	ENSG00000144810	590.1045584	602.8176071	451.263172	297.1327078	550.1416717	678.745454	479.7662318	522.0443954	412.4827656	508.7671874	447.7654467	1013.42162	993.6687773	737.4246141	831.7167298	537.2561084	907.2769863	733.2858714
FAM95B1	ENSG00000223839	41.47699772	46.11104831	30.97916513	27.57818546	29.76718464	26.95726626	45.04847247	32.40275558	36.15017496	35.31937499	48.16300604	57.15424961	48.68117929	85.29508714	135.4893382	112.1152146	65.22359902	136.26569
ALDH1A1	ENSG00000165092	670.2305768	845.7441055	1686.299222	631.6294089	958.0623502	989.7167754	537.2030342	916.2779216	1231.886731	933.4406248	604.2952164	1548.28303	2275.606499	1621.68634	1804.288712	893.3340299	2159.904567	1795.962188
TCF7L2	ENSG00000148737	431.7378399	441.9912679	586.5388597	424.3482085	590.9337396	506.4115018	578.8728712	439.2373534	338.3285605	443.1740624	416.911021	578.3668841	619.4918698	999.7879835	870.6196091	762.3834593	679.8305897	741.1285011
LGR4	ENSG00000205213	274.3137804	362.1404282	384.1416476	324.7108933	257.9822669	316.7478785	332.2324844	248.4211261	231.7318908	247.2356249	393.582065	309.6566061	376.0859733	687.7591204	495.0056021	506.76077	611.2621908	585.256237
SCD	ENSG00000099194	4321.149035	4877.649183	8238.392646	12333.67623	11080.00762	6587.200562	11511.01093	4623.693206	8098.566119	6237.233436	16120.30863	33222.82694	21283.22068	57777.16453	99899.91108	107673.6583	16576.82855	56182.63809
MT-TM	ENSG00000210112	80.12601832	200.1894292	181.7444354	209.950057	106.941367	137.6746098	154.2910182	153.913089	253.0512247	345.6253124	168.5705211	86.15789866	70.63543662	60.46234025	67.07392982	132.7444141	53.51679919	55.87873619
ANKRD20A11P	ENSG00000215559	22.62381694	11.24659715	14.45694373	17.79237771	8.819906561	17.32967117	19.1456008	26.10221977	16.68469614	5.886562499	30.10187877	22.17926104	52.499311	101.4903569	72.43984421	55.60914644	35.12039947	87.24925476
FIBIN	ENSG00000176971	24.50913502	75.35220089	62.99096909	96.07883966	67.25178753	78.94627975	84.46588587	106.2090322	123.2813659	166.505625	110.6244045	52.0359586	7.636263418	69.09981743	10.73182877	18.83535605	32.61179951	40.19347691
RP11-15I11.3	ENSG00000226251	0	0	7.228471863	8.896188857	4.40995328	5.776557055	3.378635435	0	7.415420505	8.409374998	0.752546969	0	0	1.079684647	0	0	0	0
RP11-255A11.21	ENSG00000226562	0	0	2.065277675	0	0	0	0	0	0	0	0	2.559145505	1.909065855	5.398423237	9.390350175	9.866138885	0	6.862300936
CDKN2B-AS1	ENSG00000240498	545.7995836	815.3782932	613.3874695	714.3639653	534.7068352	575.7301865	827.7656816	783.9666697	671.0955557	635.7487498	771.3606436	711.4424504	308.3141355	371.4115187	374.2725284	206.2919949	591.1933911	299.9805838
SNORD3B-1	ENSG00000265185	3.770636156	6.747958289	7.228471863	0.889618886	2.20497664	8.664835583	10.1359063	2.700229631	9.269275631	2.522812499	13.54584545	0.853048502	0.954532927	0	0	0	1.672399975	0
SNORD3A	ENSG00000263934	5.655954234	8.997277718	14.45694373	3.558475543	3.30746496	9.627595092	12.38832993	7.200612351	13.90391345	6.727499998	11.28820454	2.559145505	1.909065855	1.079684647	1.341478596	0.896921717	4.180999937	0
CEP72	ENSG00000112877	268.6578261	156.3277004	198.2666568	137.8909273	241.4449421	256.0940294	177.9414662	99.00841982	145.5276274	249.7584374	174.5908969	118.5737417	55.36290978	104.7294108	71.09836561	94.17678026	117.0679982	123.5214168
CTB-43E15.2	ENSG00000253428	13.19722655	1.124659715	3.097916513	6.2273322	14.33234816	8.664835583	4.504847247	5.400459263	10.19620319	4.204687499	4.515281816	2.559145505	2.863598782	0	0	0	0.836199987	1.96065741
SCDP1	ENSG00000226549	66.92879177	71.97822175	109.4597168	193.0472982	188.5255027	101.0897485	194.8346434	71.10604696	141.8199171	100.0715625	257.3710635	529.7431195	287.3144111	1009.505145	1608.432837	1998.341585	279.2907958	975.4270616
DENND5B-AS1	ENSG00000255867	20.73849886	29.24115258	19.62013791	12.4546644	27.562208	29.84554478	27.02908348	27.00229631	29.66168202	16.81875	37.62734847	38.38718257	50.59024514	43.18738589	44.26879368	74.44450249	26.7583996	52.93775008
LPHN2	ENSG00000117114	350.6691625	416.1240945	422.3492845	397.6596419	373.7435405	422.6514245	354.7567207	333.9283978	373.5518079	278.3503124	412.3957392	437.6138813	510.6751161	568.9938092	670.7392982	750.7234769	559.4177916	608.7841259
CYP4F30P	ENSG00000214081	0	0	0	0.889618886	1.10248832	0.962759509	1.126211812	0	0	0	0.752546969	2.559145505	1.909065855	4.318738589	5.365914386	8.072295451	1.672399975	5.881972231
STON1-GTF2A1L	ENSG00000068781	429.8525218	464.4844622	599.9631646	443.0302051	393.5883303	477.5287166	781.5909973	346.5294694	361.5017496	300.2146874	440.992524	563.0120111	812.3075211	979.2739752	678.7881698	1096.93526	581.9951912	777.4006632
