"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"ENSG00000000003",251.147347436718,-0.0958624837864952,0.133547289014667,-0.717816771076253,0.472870271101358,0.735640133601964,"TSPAN6"
"ENSG00000000005",328.057714175567,0.0567103315153215,0.289134388103518,0.196138314391776,0.844501908092282,0.939299072370295,"TNMD"
"ENSG00000000419",132.418362065137,0.100112315908532,0.0909489053478147,1.10075339033135,0.271004002456016,0.566859010052922,"DPM1"
"ENSG00000000457",105.881118696954,-0.0204263504653925,0.121387445247058,-0.168273995912996,0.866367730391896,0.948029180895355,"SCYL3"
"ENSG00000000460",52.0083002945728,0.135575248171094,0.145473794262795,0.93195650019398,0.351359006496749,0.640183218405159,"C1orf112"
"ENSG00000000938",165.462703728385,0.377473891183311,0.269865510486238,1.39874817831737,0.161888511221596,0.446108740013747,"FGR"
"ENSG00000000971",1219.2243519302,-0.117893472573455,0.230530527239515,-0.511400698142534,0.609070506166002,0.819124364314584,"CFH"
"ENSG00000001036",288.450147614974,0.227609140792045,0.109785489867531,2.07321697126534,0.0381520916501082,0.221372149493379,"FUCA2"
"ENSG00000001084",458.605587131395,0.43949036028622,0.135163528726763,3.25154547551554,0.00114779412344958,0.0373423700686686,"GCLC"
"ENSG00000001167",116.774515560774,0.0484165807705097,0.125732348546715,0.385076564067526,0.700180690856634,0.870261095535335,"NFYA"
"ENSG00000001460",51.0994966445093,-0.0616443802300069,0.177478442458995,-0.347334467081822,0.728340059699932,0.886306124926684,"STPG1"
"ENSG00000001461",101.495044891719,0.0497522230522809,0.137208761766973,0.36260237620085,0.716901934966004,0.879926101965365,"NIPAL3"
"ENSG00000001497",211.218082639061,-0.206093411792841,0.106638894015439,-1.93262893145725,0.0532819257453697,0.258932578738212,"LAS1L"
"ENSG00000001561",205.743750517114,0.106281975938323,0.086758450673437,1.2250331248811,0.220562740091484,0.514674001850725,"ENPP4"
"ENSG00000001617",219.130957737432,-0.249191519327648,0.242088088446928,-1.02934233950249,0.303318834082811,0.598291344629922,"SEMA3F"
"ENSG00000001626",2.64677345825332,-0.195865486756879,0.290228267551404,-0.674867022462546,0.499760253935014,NA,"CFTR"
"ENSG00000001629",346.357771961361,0.232932153113266,0.0997027005825935,2.33626724002632,0.0194773177889819,0.154033737168421,"ANKIB1"
"ENSG00000001630",11.6009576220949,0.121953781680266,0.239792165686537,0.508581176249466,0.611045826053062,0.820006211660453,"CYP51A1"
"ENSG00000001631",218.920490634478,-0.0989920456837072,0.0860521153866051,-1.15037318070529,0.249990201370536,0.543957297237024,"KRIT1"
"ENSG00000002016",70.8984726251225,-0.0998553068363039,0.120583041013518,-0.828104068341662,0.407611565706049,0.687540246823395,"RAD52"
"ENSG00000002330",173.768634745572,0.047157494017165,0.0937344522415106,0.503096704461043,0.614896283605111,0.82206658913988,"BAD"
"ENSG00000002549",507.097314599725,0.0848526615986785,0.135662473642589,0.625468925343553,0.531663337214208,0.771981001746824,"LAP3"
"ENSG00000002586",1255.20584044817,-0.11145678557962,0.0937250096240036,-1.18918937460503,0.234365154746913,0.52929132167811,"CD99"
"ENSG00000002587",14.5426734048939,-0.173486779507289,0.265559789258174,-0.653287080818652,0.513571219612465,0.76145140884139,"HS3ST1"
"ENSG00000002726",1.55895481990364,0.279832466743349,0.272487865356228,1.0269538659181,0.304442188129441,NA,"AOC1"
"ENSG00000002745",0.804578117301413,-0.120292906957434,0.240496129815404,-0.500186456429741,0.616943793884768,NA,"WNT16"
"ENSG00000002746",3.97431627555988,0.198365206858806,0.284893400966579,0.696278699983214,0.486254309717675,NA,"HECW1"
"ENSG00000002822",91.6402725598473,-0.118146970566252,0.113753684754488,-1.03862104178204,0.298981015793279,0.594402498556905,"MAD1L1"
"ENSG00000002834",1556.24324593687,0.0731936632330044,0.0790359784030781,0.926080308131592,0.354404246742236,0.642487280003798,"LASP1"
"ENSG00000002919",119.486671430511,0.079726910938019,0.101119146433115,0.788445252460213,0.430436310121285,0.704845813379364,"SNX11"
"ENSG00000002933",143.021886146643,-0.341086471129354,0.238475108220931,-1.43028123007857,0.15263631971057,0.433240365116554,"TMEM176A"
"ENSG00000003056",552.000753309125,-0.0196995836194226,0.106395808405109,-0.185153756663186,0.853108438723257,0.942575705434819,"M6PR"
"ENSG00000003096",17.0245530693404,-0.482233122328384,0.255769781402564,-1.88541867488788,0.0593733346751518,0.273210728939776,"KLHL13"
"ENSG00000003137",384.22499917875,-0.0176119282360922,0.21146015955832,-0.0832872171896517,0.933623164184136,0.97685373669645,"CYP26B1"
"ENSG00000003147",145.446799647131,0.180910689315631,0.172577350566763,1.04828755755897,0.294506140485166,0.59015193710894,"ICA1"
"ENSG00000003249",17.1329049655164,0.418836054800664,0.239925405159597,1.74569281032185,0.0808643450835698,0.318536317178639,"DBNDD1"
"ENSG00000003393",162.718398540039,-0.0480866680665231,0.0822659162814739,-0.584527228773505,0.55886565146068,0.789133306077072,"ALS2"
"ENSG00000003400",170.938946536565,-0.22349420658744,0.153234290005146,-1.45851301676625,0.14469918989478,0.422853321100284,"CASP10"
"ENSG00000003402",2010.29392462399,-0.086894426296651,0.100432104948232,-0.865205666469315,0.386925915823794,0.66843415093941,"CFLAR"
"ENSG00000003436",292.673000554782,0.0660122810233612,0.153883287287149,0.428976285775473,0.667940482560029,0.85122685779902,"TFPI"
"ENSG00000003509",94.7886537312682,-0.0931485962521198,0.105639873858922,-0.881756034435595,0.377908751761,0.660623049481607,"NDUFAF7"
