"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"1","ENSG00000000003",256.711343643361,0.0404254709674555,0.197121379817057,0.205079078712685,0.837510341807962,0.93861709001192,"TSPAN6"
"2","ENSG00000000005",214.453773352031,0.945526968449375,0.42326559720632,2.23388570838295,0.0254905941544531,0.164666940571321,"TNMD"
"3","ENSG00000000419",131.992122869721,0.194610922928834,0.190683154142069,1.02059840474339,0.307444745587431,0.621899652532979,"DPM1"
"4","ENSG00000000457",100.857847196808,0.130190729872143,0.228682259677597,0.569308393470006,0.569146871705964,0.812716499683579,"SCYL3"
"5","ENSG00000000460",50.0162783793991,0.160075455451682,0.300900673953332,0.531987693309417,0.594734519139868,0.82873236100754,"C1orf112"
"6","ENSG00000000938",156.551476939359,-0.75634192638989,0.436751892344992,-1.7317427574932,0.083319374101111,0.327999975204306,"FGR"
"7","ENSG00000000971",984.614247113947,-0.246318864124052,0.385833250893069,-0.638407559622998,0.523208411237088,0.787074459158868,"CFH"
"8","ENSG00000001036",270.261750996025,0.317560877134597,0.179240586234703,1.77170184390478,0.0764440634262786,0.310461966874851,"FUCA2"
"9","ENSG00000001084",459.981185946842,0.488026727489834,0.200146198241513,2.43835122414337,0.0147544307044635,0.119132401453653,"GCLC"
"10","ENSG00000001167",108.64561395785,-0.116780683284168,0.233095184831094,-0.500999981483057,0.616371135950908,0.841396670750033,"NFYA"
"11","ENSG00000001460",55.1882197187058,-0.526444052070928,0.301994942228013,-1.74322142015693,0.0812949452385986,0.322495803966135,"STPG1"
"12","ENSG00000001461",100.508780398037,-0.295189325337917,0.262005418220578,-1.12665351481168,0.259889003550578,0.570398068553654,"NIPAL3"
"13","ENSG00000001497",216.512847208008,-0.211809789602641,0.200813550603232,-1.05475845114225,0.291535811464067,0.605482151864485,"LAS1L"
"14","ENSG00000001561",195.735682365605,0.0320488877585261,0.180813823805534,0.177247995114549,0.859313597789817,0.947934655729514,"ENPP4"
"15","ENSG00000001617",246.493293121334,-0.935786094619774,0.379359358647504,-2.46675368167019,0.0136344111906728,0.113816413071167,"SEMA3F"
"16","ENSG00000001626",2.93525178261982,0.0244208447482386,0.58324230760641,0.0418708389802177,0.966601663126055,NA,"CFTR"
"17","ENSG00000001629",320.339979971029,0.411032341385492,0.151418158723965,2.71455117965608,0.0066365644867588,0.0739202355657717,"ANKIB1"
"18","ENSG00000001630",10.2793473952165,0.0460167671573498,0.480855177067458,0.0956977679599657,0.923760613675076,NA,"CYP51A1"
"19","ENSG00000001631",214.883078724138,0.0693527999379373,0.169640509708491,0.408822161977188,0.682670174777766,0.871661785766787,"KRIT1"
"20","ENSG00000002016",68.3499795962988,-0.20553890952555,0.260049447421682,-0.790383950296416,0.42930357246072,0.721515443410722,"RAD52"
"21","ENSG00000002330",168.581531230217,0.0888673708472727,0.187004675360592,0.475214700787101,0.634633949933211,0.850309758432584,"BAD"
"22","ENSG00000002549",516.591639863519,0.111534522365898,0.262399860710042,0.425055570014749,0.670796165581572,0.866809488456295,"LAP3"
"23","ENSG00000002586",1189.79042188715,-0.134270038048946,0.167587810920136,-0.80119214704065,0.423020416742032,0.717083042656685,"CD99"
"24","ENSG00000002587",13.0047448193128,-1.37385680028098,0.532709684819508,-2.57899722762965,0.00990875819096343,NA,"HS3ST1"
"25","ENSG00000002726",1.00196474938185,-0.595218882898972,0.501160667446302,-1.18768076100614,0.234959206292625,NA,"AOC1"
"26","ENSG00000002745",0.532607793076207,0.250537807926595,0.40827300837765,0.613652636313516,0.539444892979882,NA,"WNT16"
"27","ENSG00000002746",4.2333911734133,-0.219733550076397,0.566515251647354,-0.387868728048257,0.698113181375945,NA,"HECW1"
"28","ENSG00000002822",95.8017130329322,0.124206960724351,0.218419057323791,0.568663569224287,0.569584475492732,0.812824197643078,"MAD1L1"
"29","ENSG00000002834",1479.33162121254,0.181411402787218,0.125843438314306,1.44156425807539,0.149425337528856,0.43787258978174,"LASP1"
"30","ENSG00000002919",120.023363477973,0.270068027783444,0.201300215898801,1.34161817252702,0.179719830864807,0.481542996409122,"SNX11"
"31","ENSG00000002933",131.459221416386,-1.14186640805835,0.425374174693992,-2.6843811307534,0.007266421772438,0.0777092562979333,"TMEM176A"
"32","ENSG00000003056",522.568475300006,-0.243031302866983,0.140582255341691,-1.72874807191196,0.0838541936074425,0.32895904347032,"M6PR"
"33","ENSG00000003096",17.7543377323331,-0.371242242814405,0.515096256065489,-0.720724017002379,0.47107933267427,NA,"KLHL13"
"34","ENSG00000003137",368.533502481894,0.118488360250213,0.242024589770132,0.48957157767626,0.624437092884566,0.844420766673655,"CYP26B1"
"35","ENSG00000003147",131.672731783014,0.561897308999216,0.211536980644145,2.65626041975356,0.00790125716211684,0.0823631852029107,"ICA1"
"36","ENSG00000003249",15.5177114259768,0.53576718720752,0.456765581224994,1.17295875440232,0.240812346206874,NA,"DBNDD1"
"37","ENSG00000003393",153.05261057565,-0.153143284703937,0.192796639002407,-0.794325489782136,0.427005968589737,0.720349359624937,"ALS2"
"38","ENSG00000003400",155.780488336526,-0.527719825732439,0.283872436472555,-1.85900340409929,0.063026655874039,0.277496516916401,"CASP10"
"39","ENSG00000003402",2003.86407166648,-0.15456723039937,0.198916393799618,-0.777046212465906,0.437131506095278,0.72792471825,"CFLAR"
"40","ENSG00000003436",254.164111485224,0.236435043402338,0.248786373884336,0.950353669740208,0.341932576805703,0.653750892354052,"TFPI"
