"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"ENSG00000000003",271.985280773342,0.108053955867113,0.117001451486141,0.923526627188138,0.355732830733277,0.671013422864277,"TSPAN6"
"ENSG00000000005",296.272427579614,-0.315904731308749,0.376980782431986,-0.83798630070949,0.402038397465007,0.708990915959086,"TNMD"
"ENSG00000000419",139.453310002488,0.16277405878491,0.0901841212710928,1.80490818661539,0.0710890505156567,0.323163749611118,"DPM1"
"ENSG00000000457",112.040449064664,0.0768046015320472,0.106709798063373,0.719752102674153,0.471677640187462,0.755639540383354,"SCYL3"
"ENSG00000000460",53.0600938084244,0.0889563462719152,0.124230978323468,0.716056071298849,0.473956727075833,0.757858647808468,"C1orf112"
"ENSG00000000938",125.055024703437,-0.638159503658578,0.311533025558741,-2.04844896464516,0.0405160279254497,0.249717314159043,"FGR"
"ENSG00000000971",1178.95895513503,-0.337870437915959,0.231615130486273,-1.45875805784624,0.144631710269492,0.448995488916143,"CFH"
"ENSG00000001036",285.120794782797,0.0509210608379223,0.0887418232620506,0.573811298507523,0.566095502218529,0.814790664054049,"FUCA2"
"ENSG00000001084",428.48495758489,0.0626870308605763,0.137995127834123,0.454269885063834,0.649634588534163,0.85971586162917,"GCLC"
"ENSG00000001167",119.572472058886,0.0213125491120608,0.112195708286587,0.189958684138088,0.849341506260278,0.9437571218975,"NFYA"
"ENSG00000001460",58.1116532976397,0.284949156464054,0.15268001238112,1.86631604242187,0.0619971616308534,0.302644664305914,"STPG1"
"ENSG00000001461",109.822496536983,0.213454453027136,0.116334410649858,1.83483504007759,0.0665301350521238,0.313762985156763,"NIPAL3"
"ENSG00000001497",223.180164011819,-0.0648941049916246,0.0945688354172526,-0.686210258435579,0.492580529769288,0.770629362394857,"LAS1L"
"ENSG00000001561",244.996945478646,0.547496641562125,0.103068314600591,5.31197821254548,1.08441571000045e-07,4.53469427405956e-05,"ENPP4"
"ENSG00000001617",225.365481317492,-0.23033210198377,0.227485181634344,-1.01251475075859,0.311291997469353,0.633715347643123,"SEMA3F"
"ENSG00000001626",2.57605241474257,-0.395893088052404,0.385928078252429,-1.02582089866355,0.304976013348375,NA,"CFTR"
"ENSG00000001629",351.268509253491,0.149985355188786,0.0873559247886937,1.716945422438,0.0859891445144441,0.355860657394066,"ANKIB1"
"ENSG00000001630",12.0363310418734,0.109101594739263,0.268917841276983,0.405706048439119,0.684958597582311,0.87795424274184,"CYP51A1"
"ENSG00000001631",235.879266545371,0.104041088210226,0.0729042117464278,1.42709297196844,0.153553098006237,0.460689148687465,"KRIT1"
"ENSG00000002016",79.9614217881335,0.239304530373855,0.104033524508218,2.3002636073812,0.0214332901374881,0.180685839014796,"RAD52"
"ENSG00000002330",178.058980404611,0.0272475285093502,0.0866482894145776,0.314461239724903,0.753170750610035,0.906647839509693,"BAD"
"ENSG00000002549",513.908917902225,0.0204475886754952,0.132829153800288,0.153939011809401,0.877657823725773,0.956191437333633,"LAP3"
"ENSG00000002586",1296.66395009182,-0.0728444558971377,0.0957686338861909,-0.760629581327267,0.446878345947153,0.738525819367662,"CD99"
"ENSG00000002587",13.6029139010847,-0.565098551661464,0.259556057910619,-2.17717342531093,0.0294676302984217,0.214061050107348,"HS3ST1"
"ENSG00000002726",1.28194595168085,-0.0325837707932895,0.424310789175671,-0.0767922278304342,0.938788833774592,NA,"AOC1"
"ENSG00000002745",0.567722665673997,-0.953578350442435,0.399605471613687,-2.38629953336648,0.0170188831292438,NA,"WNT16"
"ENSG00000002746",4.13963174102102,0.261897122647851,0.343148245604578,0.763218597217147,0.445333039544583,NA,"HECW1"
"ENSG00000002822",97.1136802096683,0.0311732956435642,0.103607654452921,0.300878306802412,0.763507292938491,0.911627426705686,"MAD1L1"
"ENSG00000002834",1533.29501204104,-0.0978569288223667,0.0583199026882433,-1.67793367806997,0.0933600470346375,0.371071519413804,"LASP1"
"ENSG00000002919",125.398220625542,0.13723759528631,0.0897006750382027,1.52995052966838,0.126028974563859,0.423405347818962,"SNX11"
"ENSG00000002933",138.452950089321,-0.560386268485563,0.24205369898441,-2.31513201755143,0.0206057082904944,0.176358982871837,"TMEM176A"
"ENSG00000003056",542.911322252144,-0.184742142981254,0.111494925774479,-1.65695561208707,0.0975284496014703,0.37832332961644,"M6PR"
"ENSG00000003096",18.6171476582874,-0.183720723086155,0.249830272330522,-0.735382151139372,0.462106789048736,0.749008647718722,"KLHL13"
"ENSG00000003137",362.285656240801,-0.344580408669737,0.198018290653527,-1.7401443449113,0.0818336753083173,0.347554043665074,"CYP26B1"
"ENSG00000003147",149.925650841748,0.160593865589033,0.202784437468326,0.791943738848879,0.4283934819629,0.725749501946277,"ICA1"
"ENSG00000003249",14.5043491611879,-0.175048647598954,0.354495862577893,-0.493796024376706,0.62145024116164,0.847319696904377,"DBNDD1"
"ENSG00000003393",167.820321230525,-0.0338202524694216,0.0702483136562673,-0.481438638298249,0.630204781082817,0.851564601192429,"ALS2"
"ENSG00000003400",182.883525446557,-0.0371918319268119,0.148869293760683,-0.24982876580714,0.802719773073705,0.927858106355846,"CASP10"
"ENSG00000003402",2063.34465857581,-0.077222819628268,0.0918119003085352,-0.841098151424376,0.400292950631442,0.707979119874735,"CFLAR"
"ENSG00000003436",284.104275507372,-0.151175205984407,0.156875604166826,-0.963662940374355,0.335214940106949,0.653617151516858,"TFPI"
"ENSG00000003509",104.830991432778,0.1838751723203,0.0879556635551247,2.09054385912352,0.0365689728434621,0.237817470511818,"NDUFAF7"
