"","Row.names","log2FC_NotObese_CushingvCon","lfcSE_NotObese_CushingvCon","pvalue_NotObese_CushingvCon","padj_NotObese_CushingvCon","log2FC_Obese_CushingvCon","lfcSE_Obese_CushingvCon","pvalue_Obese_CushingvCon","padj_Obese_CushingvCon","external_gene_id"
"13046","ENSG00000171773",-0.917522932351104,0.563836476870344,0.103676472577558,NA,-0.388271414415234,0.541710207954973,0.473527658663722,NA,"NXNL1"
"13047","ENSG00000171777",-1.10513585721387,0.376533732047762,0.00333520985799715,0.0393029015876886,0.319783982090336,0.30311151133826,0.291423306463668,0.864666007205087,"RASGRP4"
"13048","ENSG00000171786",0.134079422897884,0.550618764594465,0.807612804605247,NA,-0.0951552702059662,0.578570528468349,0.869364188322641,NA,"NHLH1"
"13049","ENSG00000171790",0.295724824518461,0.582314447173616,0.611562838564603,NA,0.00700037128761995,0.558636202350886,0.990001825932111,NA,"SLFNL1"
"13050","ENSG00000171791",0.235796189338832,0.207874358990114,0.256660047367287,0.516559116028962,-0.196880708607513,0.177366880265185,0.266990592467627,0.852559179824171,"BCL2"
"13051","ENSG00000171792",-0.39227500742279,0.283428863709487,0.166348234916487,0.410579408750295,-0.193551032817714,0.225605967015774,0.390938691879619,0.909391361078306,"RHNO1"
"13052","ENSG00000171793",0.0600767672725035,0.353513368495918,0.865055753831978,0.939536268448029,-0.0416789641673582,0.303117283035601,0.890634712062706,0.98728498492855,"CTPS1"
"13053","ENSG00000171794",-0.173489191644497,0.310429560917678,0.576251713697463,NA,0.119013445774774,0.353762444849178,0.736552711696784,NA,"UTF1"
"13054","ENSG00000171798",-0.969819573013258,0.524448190577965,0.0644261922872665,NA,-0.0456702951475595,0.564479160563093,0.935515941618349,NA,"KNDC1"
"13055","ENSG00000171804",NA,NA,NA,NA,NA,NA,NA,NA,"WDR87"
"13056","ENSG00000171806",-0.720791249345728,0.386297766451131,0.0620559926578894,0.237471261380775,-0.241604813380211,0.328380741971991,0.461885297052022,0.926083660838168,"METTL18"
"13057","ENSG00000171811",-0.339187219330146,0.570492534300119,0.552143275731778,NA,-0.456736112837904,0.587205668503488,0.436679353103327,NA,"TTC40"
"13058","ENSG00000171812",-0.656868354602012,0.393268151299581,0.0948637636482477,0.302738921290472,-0.0498981943112109,0.330248872359232,0.879902589719348,0.986260155375586,"COL8A2"
"13059","ENSG00000171813",0.0689091048801583,0.223904816728108,0.758264421927486,0.886951716706146,0.100908796497125,0.18935832822157,0.59410374337037,0.949960136278829,"PWWP2B"
"13060","ENSG00000171815",NA,NA,NA,NA,NA,NA,NA,NA,"PCDHB1"
"13061","ENSG00000171817",-1.19371513623143,0.382467846526673,0.00180185253012123,0.0270753242622865,-0.661622256847196,0.327012201619209,0.0430490114032719,0.551946755985863,"ZNF540"
"13062","ENSG00000171819",-0.225934404947344,0.567000080724395,0.690281320623354,NA,0.244929869285907,0.594525218642659,0.680357325286043,NA,"ANGPTL7"
"13063","ENSG00000171823",-0.0520431097388778,0.23974812747305,0.828150595516939,0.922214809885309,-0.204767798540047,0.19159641678017,0.28518438593917,0.860598940873651,"FBXL14"
"13064","ENSG00000171824",-0.00401390501248763,0.120708886018486,0.973473015743513,0.98739129011227,-0.113869422515159,0.10161425712923,0.262456128358446,0.847945534514589,"EXOSC10"
"13065","ENSG00000171827",0.100879100175287,0.356525183102881,0.777214521307271,0.895766321965337,0.129637785050059,0.290334834394768,0.655227950157302,0.963720632476079,"ZNF570"
"13066","ENSG00000171840",-0.212067521117898,0.246417358796696,0.389456726638376,0.644821515612045,0.00785142285858077,0.202876154080878,0.969129118735951,0.99651142442816,"NINJ2"
"13067","ENSG00000171843",0.380826280379484,0.250291803775459,0.128127096984086,0.35640190861085,-0.0336687418081524,0.211926732195405,0.87377151312939,0.986104138233137,"MLLT3"
"13068","ENSG00000171847",-0.232623644942721,0.582997630235678,0.689883610893619,NA,-0.225119676383003,0.577445816722401,0.696644363275438,NA,"FAM90A1"
"13069","ENSG00000171848",0.615553107469746,0.570921866070731,NA,NA,1.89000342787085,0.539265233063808,NA,NA,"RRM2"
"13070","ENSG00000171853",0.071924799480105,0.142618939239042,0.614040387431212,0.80764653553983,-0.0906784865722113,0.119077705624022,0.446354398741009,0.924740358107684,"TRAPPC12"
"13071","ENSG00000171855",NA,NA,NA,NA,NA,NA,NA,NA,"IFNB1"
"13072","ENSG00000171858",-0.520899146629767,0.114522350021318,5.40425609151815e-06,0.000468408022540932,-0.251541839002707,0.0949693896646902,0.00808110441683949,0.317663495045977,"RPS21"
"13073","ENSG00000171860",-0.225861163667908,0.347612083177121,0.515853325742794,0.742112856617456,0.646618104201166,0.296114578404194,0.0289861126985302,0.501447580907778,"C3AR1"
"13074","ENSG00000171861",0.000101335732554702,0.241653115855028,0.999665412077112,0.999760490937607,-0.0842598112140769,0.210160788327722,0.688471499428496,0.96796934359082,"RNMTL1"
"13075","ENSG00000171862",-0.444280808605213,0.220500356958066,0.0439176758852708,0.195423854636802,0.108713995702736,0.187862392685749,0.562798696340209,0.948110310759929,"PTEN"
"13076","ENSG00000171863",-0.222948171336333,0.123369240049849,0.0707370634337454,0.256389701736675,-0.00514748613617955,0.103871688853385,0.960476051444763,0.995581396878398,"RPS7"
"13077","ENSG00000171864",-1.60000518077774,0.574589208902932,0.00535926217563411,NA,-0.369710260533455,0.556953450632315,0.50681308482602,0.938962551441262,"PRND"
"13078","ENSG00000171865",0.411787049119287,0.207995206426763,0.0477270119388803,0.204171240987463,-0.0333137359357741,0.176989066490831,0.850700413326306,0.981900309032816,"RNASEH1"
"13079","ENSG00000171867",-0.205909787169482,0.15736068146741,0.190696589991001,0.442957181041247,-0.0524922285854847,0.130462264573104,0.687422308259529,0.96796934359082,"PRNP"
"13080","ENSG00000171872",0.154716029146146,0.479140995432579,0.74676876068175,NA,-0.585690795922852,0.521201926775381,0.261127133773894,NA,"KLF17"
"13081","ENSG00000171873",-0.208516050721372,0.554613634400626,0.706941930142055,NA,-0.251876803231232,0.506026314117949,0.618657189377703,NA,"ADRA1D"
"13082","ENSG00000171877",0.212518832268148,0.514873958850595,0.679783233182192,NA,0.905409502246685,0.571159584028018,0.112917985781813,NA,"FRMD5"
"13083","ENSG00000171885",-0.859640954588353,0.543692779687763,NA,NA,-0.011470935903156,0.575148017541888,NA,NA,"AQP4"
"13084","ENSG00000171903",0.386880246607283,0.557222245879488,0.48749314436425,NA,0.713795086084258,0.597125498091454,0.231936497950267,NA,"CYP4F11"
"13085","ENSG00000171914",0.47384819037992,0.201690351813074,0.0188044761489797,0.119175818022261,-0.140390434800625,0.172093891650659,0.414627038157917,0.914601749216738,"TLN2"
"13086","ENSG00000171916",-0.342036377068885,0.415870025668502,0.410815258435001,NA,0.0309113205645638,0.466944547343984,0.947219293214938,NA,"LGALS9C"
"13087","ENSG00000171928",-0.197483973913982,0.264858668378958,0.455896875530855,0.69757995755719,0.0868938555807759,0.218311781335576,0.690610714932079,0.96796934359082,"TVP23B"
"13088","ENSG00000171931",-0.0597161272095297,0.576194982108171,0.917456035854418,NA,-0.335127854335614,0.590067407581883,0.570069989465564,NA,"FBXW10"
"13089","ENSG00000171936",NA,NA,NA,NA,NA,NA,NA,NA,"OR10H3"
"13090","ENSG00000171940",0.0247819774868399,0.16486699655324,0.880516123561195,0.946823747766166,0.0248759803595778,0.135489023905092,0.854326130669469,0.98231696561856,"ZNF217"
"13091","ENSG00000171942",NA,NA,NA,NA,NA,NA,NA,NA,"OR10H2"
"13092","ENSG00000171944",NA,NA,NA,NA,NA,NA,NA,NA,"OR52A5"
"13093","ENSG00000171951",1.24458269728635,0.557957149841238,0.0257072234407179,NA,0.665654353855971,0.588594889099856,0.258088319822892,NA,"SCG2"
"13094","ENSG00000171953",0.0581567241219941,0.222338540856589,0.793654251682301,0.904861167131065,0.0498749505802966,0.187729001044767,0.790489320874856,0.97273670907896,"ATPAF2"
"13095","ENSG00000171954",1.7620649687921,0.580563383699253,0.00240460006838179,NA,0.491018834220881,0.583612880507964,0.400155594336172,NA,"CYP4F22"
"13096","ENSG00000171956",NA,NA,NA,NA,NA,NA,NA,NA,"FOXB1"
"13097","ENSG00000171960",-0.00742664391390447,0.233031292678454,0.974575939925105,0.987873120122388,-0.0414630135941227,0.192459595275048,0.829426237454969,0.977325884481013,"PPIH"
"13098","ENSG00000171962",0.0637487286340587,0.350998875635105,0.855880252647264,0.936270687937985,-0.220316058902678,0.301613118823753,0.465109581086297,0.926763456304233,"LRRC48"
"13099","ENSG00000171970",0.309263369464323,0.39006735688349,0.427867513537686,NA,-0.00297008171656429,0.349964592061458,0.993228589541852,0.998636892693212,"ZNF57"
"13100","ENSG00000171984",-0.0233321490479416,0.391751271595613,0.95250720896145,NA,0.208198025393783,0.33123739434736,0.52964615215836,0.943273533186805,"C20orf196"
"13101","ENSG00000171987",NA,NA,NA,NA,NA,NA,NA,NA,"C11orf40"
"13102","ENSG00000171988",0.130245769226016,0.151733144854441,0.390678766412253,0.645840482003526,-0.0613062688155437,0.125621510909872,0.6255330864073,0.960263343493258,"JMJD1C"
"13103","ENSG00000171989",0.387089058931983,0.475985168625399,0.416081818255408,NA,-0.0681857702290968,0.534518164844125,0.898493289174256,NA,"LDHAL6B"
"13104","ENSG00000171992",0.651390489504811,0.242521497834986,0.0072332950475264,0.0655932085393959,-0.0201747089580454,0.207825122172925,0.922666508536018,0.989794155854787,"SYNPO"
