"","Row.names","rsq","pval","estimate","padj","hgnc_symbol"
"1","ENSG00000017427",0.621793490714204,0.0351133045521914,0.0159972257232844,0.606207657031131,"IGF1"
"30","ENSG00000253869",0.519267656366093,0.0677185338537718,8.64785317923696e-05,0.606207657031131,"PIGFP1"
"15","ENSG00000151665",0.472424288559586,0.0879540879675461,-0.00119157997708051,0.606207657031131,"PIGF"
"13","ENSG00000146674",0.446166370242239,0.101034609505189,0.0225596067191558,0.606207657031131,"IGFBP3"
"7","ENSG00000126246",0.375957179387243,0.143156412416439,-0.000101304938728657,0.647402892480567,"IGFLR1"
"32","ENSG00000268879",0.349876023415357,0.161850723120142,8.52635566517403e-05,0.647402892480567,"IGFL1P1"
"17","ENSG00000163395",0.238231351440039,0.266458797482608,-0.000127749201077983,0.682834468068719,"IGFN1"
"4","ENSG00000099869",0.193615107353269,0.323166975475857,4.60194467801562e-05,0.682834468068719,"IGF2-AS"
"5","ENSG00000115457",0.157395639812183,0.378216130379629,-0.000478398811860539,0.682834468068719,"IGFBP2"
"3","ENSG00000099769",0.153969028519187,0.383935288079286,1.73932882516989e-05,0.682834468068719,"IGFALS"
"6","ENSG00000115461",0.153091246663262,0.385416190724899,0.0261030632491258,0.682834468068719,"IGFBP5"
"11","ENSG00000140443",0.150748494343261,0.389400910311333,-0.000228502112234815,0.682834468068719,"IGF1R"
"19","ENSG00000165197",0.144542679730046,0.400189650892367,-0.000976987263998961,0.682834468068719,"FIGF"
"24","ENSG00000197081",0.125912262106799,0.434800067717966,-0.000877288780014082,0.682834468068719,"IGF2R"
"16","ENSG00000159217",0.120002258366857,0.446551787672659,1.0052535999399e-05,0.682834468068719,"IGF2BP1"
"10","ENSG00000137142",0.115768945012917,0.455222978712479,3.89844184963639e-05,0.682834468068719,"IGFBPL1"
"21","ENSG00000167779",0.0476936925927647,0.638029129060604,-0.00433204176755679,0.892214250735491,"IGFBP6"
"26","ENSG00000204869",0.0303289742842506,0.708813021613278,-8.09451816722755e-06,0.892214250735491,"IGFL4"
"29","ENSG00000245067",0.0292431457033031,0.713916826063465,-0.00112485695792868,0.892214250735491,"IGFBP7-AS1"
"2","ENSG00000073792",0.0233673125204242,0.743511875612909,9.69192314629454e-05,0.892214250735491,"IGF2BP2"
"12","ENSG00000141753",0.000544174047225277,0.9604087151849,0.000928359920406347,0.995937584035201,"IGFBP4"
"20","ENSG00000167244",0.000200865305779108,0.975942100732002,-0.000107047323913477,0.995937584035201,"IGF2"
"18","ENSG00000163453",6.29965107447491e-06,0.995739056897577,-0.000118927165813425,0.995937584035201,"IGFBP7"
"9","ENSG00000136231",5.72629288027097e-06,0.995937584035201,6.08337028262448e-08,0.995937584035201,"IGF2BP3"
"8","ENSG00000129965",NA,NA,0,NA,"INS-IGF2"
"14","ENSG00000146678",NA,NA,0,NA,"IGFBP1"
"22","ENSG00000188293",NA,NA,0,NA,"IGFL1"
"23","ENSG00000188624",NA,NA,0,NA,"IGFL3"
"25","ENSG00000204866",NA,NA,0,NA,"IGFL2"
"27","ENSG00000227592",NA,NA,0,NA,"PIGFP3"
"28","ENSG00000234881",NA,NA,0,NA,"PIGFP2"
"31","ENSG00000268238",NA,NA,0,NA,"IGFL1P2"
