motif_id	n_with_m	n_m_and_gr	cooc_or	cooc_p	cooc_q	log2_or	neg_log10_q	motif_alt_ID	log2_enrich_hvc	neg_log10_padj_hvc	pct_HFD	pct_CHD	adj_p_hvc	combined_score	in_quadrant_TR
MA1603.2	773	215	1.4153518070474218	4.4899825834189355e-5	0.011554221847998059	0.501160701253481	1.9372592979996945	Dmrt1	0.47957255623257683	25.939302159646388	60	42.89	1.15e-26	0.24034291858344264	TRUE
MA0896.2	486	133	1.3579858530980886	0.002725252361087753	0.1753245685633121	0.441468450295796	0.756157221134746	Hmx1	0.49755888218960714	13.655607726314889	42.49	29.95	2.21e-14	0.21965654865115442	TRUE
MA0713.1	475	121	1.2212433693553737	0.03988973753516526	0.5702755069842145	0.28835072921590077	0.2439152807207476	PHOX2A	0.7416099908876661	25.18045606445813	38.91	23.07	6.600000000000001e-26	0.21384378166625603	TRUE
MA2095.1	929	235	1.227507270791621	0.007327256674606666	0.26936391203792126	0.29573156996070077	0.5696605892092728	Sox7	0.7140784836190767	11.91721462968355	25.14	15.13	1.21e-12	0.21117555103582608	TRUE
MA0911.2	283	75	1.2837135216412667	0.042771267810120625	0.6003530681711478	0.36032328110434986	0.2215932655142983	Hoxa11	0.5831392335235857	26.181774106386044	50.9	33.81	6.580000000000001e-27	0.21011864196389407	TRUE
MA1500.2	359	95	1.2849437067925487	0.02592936918472293	0.4899335488263394	0.3617051565318496	0.30986282065534515	HOXB6	0.5525710419644927	38.37468754903833	63.58	43.19	4.22e-39	0.19986779522873405	TRUE
MA1640.2	617	160	1.2601954763139016	0.010425235860271232	0.32001895707856237	0.3336475359753689	0.49482429445897347	MEIS2	0.5417707806669607	24.718966632752274	52.97	36.23	1.9099999999999999e-25	0.18076048603298348	TRUE
MA0594.3	41	11	1.293325415598423	0.2861443243516132	0.9999580513982196	0.37108531954290497	1.821842839826268e-5	HOXA9	0.48173388550932844	41.070581074285705	71.29	50.91	8.5e-42	0.17876437283887434	TRUE
MA1502.2	359	95	1.2849437067925487	0.02592936918472293	0.4899335488263394	0.3617051565318496	0.30986282065534515	HOXB8	0.48833861215343766	27.896196279044045	61	43.34	1.27e-28	0.17663459414950536	TRUE
MA0084.2	792	200	1.2183474483798982	0.014210022710202568	0.34281679788363695	0.284925619757284	0.46493790597452017	SRY	0.5917655233379515	56.705533773838404	70.71	46.75	1.97e-57	0.16860915848805932	TRUE
MA0793.2	512	141	1.37279079234065	0.0015657142008421085	0.12333024934347411	0.4571117814575033	0.908930390462321	POU6F2	0.358245419105481	13.476253533188435	58.03	45.16	3.34e-14	0.16375820172629632	TRUE
MA0898.2	409	107	1.2663620836436054	0.025909884161279897	0.4899335488263394	0.34068996526378365	0.30986282065534515	Hmx3	0.46827529487789266	17.225483034271452	50.84	36.61	5.95e-18	0.1595366939458373	TRUE
MA1549.2	526	145	1.3759073194438147	0.0012874677297382434	0.12333024934347411	0.46038329396296707	0.908930390462321	POU6F1	0.3452896626867122	13.661543506395395	60.2	47.28	2.18e-14	0.15896559227907037	TRUE
MA0873.2	212	57	1.3064432735837817	0.055351378174790265	0.6361171842671554	0.3856444834822099	0.1964628720989968	HOXD12	0.4070305510622142	3.8927900303521317	27.65	20.73	1.28e-4	0.15696908662586687	TRUE
MA0681.3	697	178	1.235217678065458	0.013173059331776987	0.33898672680439446	0.3047653052857171	0.4698173064826485	PHOX2B	0.48926208430057094	27.694648630553377	60.52	42.97	2.02e-28	0.14911010848658976	TRUE
MA0693.4	751	194	1.259519235716649	0.005892090316222674	0.2561959230672494	0.3328731554672346	0.5914277856119593	Vdr	0.4312903377959368	3.537602002101044	26.28	19.36	2.9e-4	0.143564975664663	TRUE
MA0485.3	309	80	1.2429598431210689	0.06059612348939801	0.6682886761973609	0.31377968732689526	0.17503589770716924	HOXC9	0.45567948377619	2.0048037084028207	16.78	12.1	0.00989	0.14298296594057394	TRUE
MA1113.3	576	145	1.2041648260302593	0.037718870724607986	0.5531867322798503	0.2680328816500456	0.2571282446269849	PBX2	0.5276881189276406	21.35163998901907	50.49	34.87	4.45e-22	0.14143776712866746	TRUE
MA1978.2	1187	288	1.157941239740772	0.028176818857186637	0.4899335488263394	0.21156204496317807	0.30986282065534515	ZNF354A	0.664693951448	41.75448733218585	57.25	35.93	1.76e-42	0.1406240116429943	TRUE
MA1518.3	193	52	1.3092398530032467	0.06279253604486446	0.6742900292107263	0.38872942351659445	0.17115326222871002	Lhx1	0.3599157298495931	4.403402904373539	35.96	27.91	3.95e-5	0.13990983417898667	TRUE
MA1476.3	347	88	1.2085499069565517	0.07819368332968517	0.7192995299395832	0.2732770502918077	0.14309022350946243	Dlx5	0.5079298381391476	20.378823718224965	51.19	35.85	4.1800000000000005e-21	0.13880556792186158	TRUE
MA0908.2	275	73	1.286315318796444	0.043694971161470336	0.6023663881545553	0.36324433870217687	0.22013926961987537	HOXD11	0.37755279654858576	17.34008379993015	61.17	46.97	4.57e-18	0.13714391590744857	TRUE
MA1580.1	617	164	1.3079883857725536	0.003434223656936883	0.1767480442103516	0.3873497305433872	0.7526453831511561	ZBTB32	0.33992343182170087	2.001304841688344	27.13	21.33	0.00997	0.1316692497215193	TRUE
MA1503.2	308	80	1.2486531365571583	0.05681164732872992	0.6361171842671554	0.3203727662428939	0.1964628720989968	HOXB9	0.395404418530119	4.1944991418416	29.91	22.62	6.39e-5	0.1266768073491572	TRUE
MA0885.3	347	88	1.2085499069565517	0.07819368332968517	0.7192995299395832	0.2732770502918077	0.14309022350946243	Dlx2	0.44808233593663127	19.66958622665081	56.32	41.15	2.14e-20	0.12245061905262546	TRUE
MA0780.1	207	52	1.1878481112096766	0.16509874782709505	0.9156315688337391	0.2483503721539393	0.03827924228196063	PAX3	0.4763452114023862	3.245651664288981	19.77	14.07	5.68e-4	0.1183005105255295	TRUE
MA0868.3	640	156	1.1503975551478105	0.0824185783801017	0.7465149373792902	0.2021325148433624	0.12696149784318028	SOX8	0.563532472573189	52.903089986991944	71	47.88	1.25e-53	0.11390823587711682	TRUE
MA0078.3	918	226	1.1761601666197967	0.028395080150163177	0.4899335488263394	0.23408453624060396	0.30986282065534515	Sox17	0.48559209379977014	19.1944991418416	51.88	36.91	6.39e-20	0.11366960007922305	TRUE
MA1974.2	392	100	1.22046213315395	0.05594652039399109	0.6361171842671554	0.287427533825745	0.1964628720989968	ZNF211	0.3934087426524002	9.377785977033705	44.96	34.11	4.19e-10	0.11307650468606657	TRUE
MA0036.4	389	98	1.1987345037472261	0.07606050549986851	0.7192995299395832	0.2615121653901999	0.14309022350946243	GATA2	0.42359316581139445	6.5934598195660445	35.58	26.4	2.55e-7	0.11077476603582775	TRUE
MA0757.2	551	140	1.2197230016637943	0.030882828597495905	0.49669882660972575	0.2865535498375557	0.30390686597120137	ONECUT3	0.37051579836146603	2.453457336521869	25.77	19.82	0.00352	0.1061726172913741	TRUE
MA1562.2	385	96	1.1812201739299202	0.09651969569931837	0.7681773719574617	0.24027790142543828	0.11453848990548028	SOX14	0.43089318135820764	11.531652669587842	45.55	33.66	2.94e-12	0.10353410935528091	TRUE
MA0906.2	269	68	1.2003124712213498	0.1160280276365782	0.8450343144852676	0.26341002416633447	0.07312565520531283	HOXC12	0.38999291145068316	4.507239610973163	31.67	24.05	3.11e-5	0.10272804222992359	TRUE
MA0135.2	632	152	1.127884679390938	0.11969114789093852	0.8453054678675527	0.17361956687155075	0.07298632177671423	Lhx3	0.578519010595678	12.2958494831602	33.01	21.94	5.06e-13	0.1004422200465797	TRUE
MA0790.2	734	183	1.192732707074421	0.029999926976823285	0.49276475800228886	0.2542707694504235	0.30736036000036204	POU4F1	0.3867565552182016	32.11350927482752	74.43	56.81	7.7e-33	0.09834088688532733	TRUE
MA0627.3	921	224	1.154389743940372	0.04651552086000873	0.6110728228740152	0.2071303875196312	0.21390703085767054	POU2F3	0.4734731171931808	27.991399828238084	62.48	44.86	1.02e-28	0.0980706702443513	TRUE
MA0724.1	275	68	1.1641117775281773	0.16080310620370397	0.9156315688337391	0.21922959187440547	0.03827924228196063	VENTX	0.4347615314233157	11.560667306169737	45.16	33.28	2.75e-12	0.095312593096625	TRUE
MA1128.2	923	217	1.0960675453696074	0.1460558337052782	0.8878354615785414	0.13233670739250866	0.05166751254301273	FOSL1::JUN	0.7097944364995517	7.188424994129407	18.26	10.97	6.48e-8	0.09393185865187174	TRUE
MA0754.3	195	51	1.2557468583478526	0.09996937520044952	0.7805359244339707	0.3285456656514761	0.10760710358888625	CUX1	0.2830976706934177	5.621602099051862	50.91	41.75	2.39e-6	0.09301051266235129	TRUE
MA0152.3	1263	298	1.1087164925606008	0.08695627058244763	0.7538249368660855	0.1488905043034542	0.12272949999306648	Nfatc2	0.6052266420835953	12.59176003468815	32.48	21.18	2.56e-13	0.0901124999577127	TRUE
MA1115.2	782	189	1.1396663472878164	0.07826575196233808	0.7192995299395832	0.18861151775092805	0.14309022350946243	POU5F1	0.4579418051610365	45.51855737149769	75.72	54.99	3.03e-46	0.08637309891302287	TRUE
MA0068.2	197	48	1.138852787930203	0.24421701631400136	0.9999580513982196	0.18758127132250474	1.821842839826268e-5	PAX4	0.44515330658811375	25.042871802323187	62.59	45.84	9.060000000000001e-26	0.0835024231832151	TRUE
MA1138.2	864	209	1.1432785346633545	0.06439257336920076	0.6758144808888434	0.19317692728270905	0.1701725066973471	FOSL2::JUNB	0.42294742561281445	5.889410289700751	33.03	24.51	1.29e-6	0.08170368408201566	TRUE
MA1636.2	1179	286	1.157308783695918	0.0289928160749373	0.4899335488263394	0.21077384393698154	0.30986282065534515	CEBPG	0.3871509573865164	11.978810700930062	51.59	39.33	1.05e-12	0.0816012954722386	TRUE
MA1506.2	288	71	1.1596026463397646	0.16165488011800658	0.9156315688337391	0.21363053090320183	0.03827924228196063	HOXD10	0.38010633882788575	2.692503962086787	25.75	19.67	0.00203	0.08120231896347355	TRUE
MA0602.2	230	55	1.110789669379286	0.2755245034167396	0.9999580513982196	0.15158566490841505	1.821842839826268e-5	Arid5a	0.5349161999111063	51.49620931694282	72.45	49.85	3.1899999999999996e-52	0.08108562783380771	TRUE
MA0905.2	333	84	1.1989636247461672	0.0924809767721189	0.7660779735386908	0.26178788961587607	0.11572702442200426	HOXC10	0.30517066574805385	31.943095148663527	82.74	66.87	1.1399999999999999e-32	0.07988998455885493	TRUE
MA1471.2	494	117	1.1006317375068952	0.206565371701632	0.9999580513982196	0.13833183552772474	1.821842839826268e-5	BARX2	0.573249080157366	55.021819483062586	71.26	47.73	9.509999999999998e-56	0.07929859747274824	TRUE
MA0755.2	109	28	1.2213824410934737	0.2126089453805421	0.9999580513982196	0.28851500988979134	1.821842839826268e-5	CUX2	0.2651465844922926	6.0338582672609675	55.55	46.14	9.25e-7	0.07649876944703819	TRUE
MA0841.2	739	172	1.0769593546113196	0.22385495315038803	0.9999580513982196	0.10696380233596268	1.821842839826268e-5	NFE2	0.7085675990244925	3.853871964321762	11.07	6.58	1.4e-4	0.07579108460372348	TRUE
MA0897.2	524	129	1.1638981881729873	0.08475640772230623	0.7465149373792902	0.21896486422381647	0.12696149784318028	Hmx2	0.34148416112808183	9.026410376572743	51.12	40.24	9.41e-10	0.0747730329759943	TRUE
MA0468.1	588	141	1.1220972151926119	0.13891002314892179	0.8878354615785414	0.16619767220392534	0.05166751254301273	DUX4	0.4226809345926473	5	29.78	22.09	1e-5	0.0702485874142776	TRUE
MA1124.1	836	204	1.1577716170893293	0.05007670654520776	0.6337576631623015	0.21135069427021566	0.1980767762992695	ZNF24	0.32416656708336167	2.5243288116755704	31.75	25.26	0.00299	0.06851282901226093	TRUE
MA0037.5	399	94	1.0909541766470965	0.25490261106393214	0.9999580513982196	0.1255905054082092	1.821842839826268e-5	Gata3	0.5224210346524433	4.244887733604929	21.62	14.9	5.69e-5	0.06561112177787992	TRUE
MA0025.3	1011	238	1.0998273402786363	0.12729323429598893	0.8696493528894111	0.13727705568153398	0.0606558218664016	NFIL3	0.47718596339569874	25.595166283380063	59.9	42.89	2.54e-26	0.06550668406751776	TRUE
MA1473.2	684	160	1.084122430714442	0.21151702402593736	0.9999580513982196	0.11652769046550816	1.821842839826268e-5	CDX4	0.5543422271553341	11.943095148663527	34.23	23.15	1.14e-12	0.06459621945791719	TRUE
MA1479.2	659	161	1.1548008561893361	0.0737404686073853	0.7192995299395832	0.20764408232599513	0.14309022350946243	DMRTC2	0.30440151380623215	10.03763066432998	59.43	48.03	9.17e-11	0.0632071729929388	TRUE
