gr_set	or_adj	adj_lo	adj_hi	p_adj
eWAT_union	0.12032158776024714	0.11350916052104218	0.12754287332133932	0
iWAT_union	0.17285614691140694	0.16331381359990976	0.18295603333504182	0
eWAT_repro	0.09190999478077941	0.08499813634982742	0.09938391008757745	0
iWAT_repro	0.1687627130385591	0.15808924567151866	0.18015680441232032	0
human_dex	0.8550548847516107	0.7044345912312869	1.0378804008753486	0.11321287021778143
