gr_set	foreground	pct_fg	pct_bg	or_fisher	p_fisher	or_post	cri_lo	cri_hi	p_or_gt1
iWAT_union	CHD_specific	91.98184568835099	78.26258008917532	3.1862920272032915	2.408389649147891e-40	3.1824664957079447	2.6211402687661556	3.9061169582413577	1
iWAT_repro	CHD_specific	80.40847201210288	60.66918955374874	2.660654134253916	2.6679247456636248e-52	2.659996949427602	2.3215697124288512	3.056186994273863	1
eWAT_union	CHD_specific	90.69591527987897	81.01652366143355	2.2841210045983162	7.71136348404216e-22	2.281922969438602	1.9007521843975488	2.763467718297239	1
eWAT_repro	CHD_specific	76.62632375189108	60.29450335344149	2.158817615672322	2.5058747920984225e-35	2.1578479536734365	1.9003955541187088	2.458041212527923	1
human_dex	CHD_specific	4.462934947049924	2.4279665779909325	1.877296579017095	2.062009025122454e-5	1.882606084844729	1.4266925097233742	2.4359150039711306	0.999995
human_dex	HFD_specific	1.681403101898826	2.4279665779909325	0.6872606552833065	6.810593047069329e-5	0.6882193037764588	0.5649251827565961	0.8292681035648395	3e-5
iWAT_union	HFD_specific	36.72996086389332	78.26258008917532	0.1612475239376362	0	0.16123815113132267	0.15288653501287172	0.17003846845109521	0
iWAT_repro	HFD_specific	19.01724887664879	60.66918955374874	0.15224209724607343	0	0.15228049948360375	0.1429589745734576	0.1619900607382572	0
eWAT_union	HFD_specific	33.20771126250181	81.01652366143355	0.11651143662855858	0	0.11650885152197554	0.11030870315665	0.12306412934400894	0
eWAT_repro	HFD_specific	11.494419481084215	60.29450335344149	0.08551471638035124	0	0.08554618159570027	0.07920307804936998	0.09224888401384494	0
