"","ensembl_gene_id","hgnc_symbol"
"185","ENSG00000234489","ALDH7A1P4"
"186","ENSG00000165424","ZCCHC24"
"187","ENSG00000227067","DPPA3P1"
"188","ENSG00000233499","OR5B1P"
"189","ENSG00000151632","AKR1C2"
"190","ENSG00000029364","SLC39A9"
"191","ENSG00000170448","NFXL1"
"192","ENSG00000205213","LGR4"
"193","ENSG00000243444","PALM2"
"194","ENSG00000023734","STRAP"
"195","ENSG00000101311","FERMT1"
"196","ENSG00000241084",""
"197","ENSG00000183760",""
"198","ENSG00000266786","LGALS9DP"
"199","ENSG00000165684","SNAPC4"
"200","ENSG00000249904",""
"201","ENSG00000259728","LINC00933"
"202","ENSG00000255108",""
"203","ENSG00000167114","SLC27A4"
"204","ENSG00000267178","PHF5CP"
"205","ENSG00000011523","CEP68"
"206","ENSG00000232532",""
"207","ENSG00000237026",""
"208","ENSG00000240291",""
"209","ENSG00000173914","RBM4B"
"210","ENSG00000260845",""
"211","ENSG00000083642","PDS5B"
"212","ENSG00000235203","TBC1D3P3"
"213","ENSG00000177047","IFNW1"
"214","ENSG00000188782","CATSPER4"
"215","ENSG00000270462",""
"216","ENSG00000260991",""
"217","ENSG00000151338","MIPOL1"
"218","ENSG00000226517","HCG4P7"
"219","ENSG00000226247","SUPT4H1P"
"220","ENSG00000272407",""
"221","ENSG00000258923",""
"222","ENSG00000224959",""
"223","ENSG00000186994","KANK3"
"224","ENSG00000247624","CPEB2-AS1"
"225","ENSG00000236611",""
"226","ENSG00000172315","TP53RK"
"227","ENSG00000217929","CICP18"
"228","ENSG00000259981",""
"229","ENSG00000271452",""
"230","ENSG00000227729","RD3L"
"231","ENSG00000270190",""
"232","ENSG00000249188","ENPP7P1"
"233","ENSG00000261426",""
"234","ENSG00000248645",""
"235","ENSG00000263232","ATP5A1P3"
"236","ENSG00000150636","CCDC102B"
"237","ENSG00000258519",""
"238","ENSG00000083454","P2RX5"
"239","ENSG00000228740",""
"240","ENSG00000158526","TSR2"
"241","ENSG00000099998","GGT5"
"242","ENSG00000087250","MT3"
"243","ENSG00000229118",""
"244","ENSG00000241592",""
"245","ENSG00000272411",""
"246","ENSG00000229068","TMPOP1"
"247","ENSG00000269055","BNIP3P18"
"248","ENSG00000134070","IRAK2"
"249","ENSG00000105717","PBX4"
"250","ENSG00000111726","CMAS"
"251","ENSG00000270696",""
"252","ENSG00000213463","SYNJ2BP"
"253","ENSG00000015153","YAF2"
"254","ENSG00000270716","BNIP3P15"
"255","ENSG00000164086","DUSP7"
"256","ENSG00000180139","ACTA2-AS1"
"257","ENSG00000178836",""
"258","ENSG00000225422","RBMS1P1"
"259","ENSG00000101333","PLCB4"
"260","ENSG00000235192",""
"261","ENSG00000140675","SLC5A2"
"262","ENSG00000271177",""
"263","ENSG00000249944",""
"264","ENSG00000256072",""
"265","ENSG00000232879",""
"266","ENSG00000231526","HLA-DQA2"
"267","ENSG00000228532",""
"268","ENSG00000182179","UBA7"
"269","ENSG00000232411",""
"270","ENSG00000184108","TRIML1"
"271","ENSG00000255379","CYCSP29"
"272","ENSG00000251298",""
"273","ENSG00000255444","CYCSP27"
"274","ENSG00000267518",""
"275","ENSG00000254039",""
"276","ENSG00000199492","RNU6-1313P"
"277","ENSG00000215859",""
"278","ENSG00000243596",""
"279","ENSG00000250031",""
"280","ENSG00000186766","FOXI2"
"281","ENSG00000266354","MIR4776-2"
"282","ENSG00000266354","MIR4776-1"
"283","ENSG00000265224",""
"284","ENSG00000134987","WDR36"
"285","ENSG00000260471",""
"286","ENSG00000229195",""
"287","ENSG00000266239",""
"288","ENSG00000262180","OCLM"
"289","ENSG00000250983",""
"290","ENSG00000213740","SERBP1P1"
"291","ENSG00000201916",""
"292","ENSG00000200661","SNORD116-10"
"293","ENSG00000255161",""
"294","ENSG00000216516",""
"295","ENSG00000213137","ARF1P2"
"296","ENSG00000112053","SLC26A8"
"297","ENSG00000272575",""
"298","ENSG00000266617","MIR3692"
"299","ENSG00000152443","ZNF776"
"300","ENSG00000252498","RNU6-1016P"
"301","ENSG00000244451","RPL34P21"
"302","ENSG00000091262","ABCC6"
"303","ENSG00000227496",""
"304","ENSG00000264092","RN7SL474P"
"305","ENSG00000107518","ATRNL1"
"306","ENSG00000271379",""
"307","ENSG00000221176","MIR1207"
"308","ENSG00000233702",""
"309","ENSG00000105229","PIAS4"
"310","ENSG00000083123","BCKDHB"
"311","ENSG00000115263","GCG"
"312","ENSG00000206281","TAPBP"
"313","ENSG00000203857","HSD3B1"
"314","ENSG00000243115","RN7SL849P"
"315","ENSG00000207693","MIR602"
"316","ENSG00000252080","RNU7-99P"
"317","ENSG00000229335",""
"318","ENSG00000238073","RBMY2HP"
"319","ENSG00000270387",""
"320","ENSG00000135677","GNS"
"321","ENSG00000162757","C1orf74"
"322","ENSG00000266559","MIR4530"
"323","ENSG00000221766",""
"324","ENSG00000180096","SEPT1"
"325","ENSG00000226349",""
"326","ENSG00000265829","MIR548AG1"
"327","ENSG00000218052","ADAMTS7P4"
"328","ENSG00000242728","UQCRHP4"
"329","ENSG00000270149",""
"330","ENSG00000221685",""
"331","ENSG00000221616","MIR548H4"
"332","ENSG00000188582","PAQR9"
"333","ENSG00000264919","MIR4697"
"334","ENSG00000221764",""
"335","ENSG00000265498",""
"336","ENSG00000176102","CSTF3"
"337","ENSG00000264552",""
"338","ENSG00000023330","ALAS1"
"339","ENSG00000213068",""
"340","ENSG00000270778","BUB1P1"
"341","ENSG00000206824",""
"342","ENSG00000252342","RNA5SP164"
"343","ENSG00000252554","RNU6-861P"
"344","ENSG00000266347",""
"345","ENSG00000201532","RNA5SP194"
"346","ENSG00000264505","MIR4534"
"347","ENSG00000270790",""
"348","ENSG00000124399",""
"349","ENSG00000221564","RNU6ATAC42P"
"350","ENSG00000251741","RNU4ATAC13P"
"351","ENSG00000227851",""
"352","ENSG00000199913",""
"353","ENSG00000173193","PARP14"
"354","ENSG00000265663",""
"355","ENSG00000207443","RNU6-417P"
"356","ENSG00000230406",""
"357","ENSG00000151465","CDC123"
"358","ENSG00000201436","RNU6-660P"
"359","ENSG00000207725","MIR222"
"360","ENSG00000266143",""
"361","ENSG00000238921",""
"362","ENSG00000115364","MRPL19"
"363","ENSG00000200473","RNA5SP507"
"364","ENSG00000199645","RNU6-1330P"
"365","ENSG00000206690",""
"366","ENSG00000253952","HIGD1AP18"
"367","ENSG00000212392",""
"368","ENSG00000186462","NAP1L2"
"369","ENSG00000251706","RNU7-61P"
"370","ENSG00000223087","RNU6-602P"
"371","ENSG00000264953",""
"372","ENSG00000207034",""
"373","ENSG00000240584","RN7SL547P"
"374","ENSG00000263425",""
"375","ENSG00000251467",""
"376","ENSG00000264873","MIR4646"
"377","ENSG00000263768",""
"378","ENSG00000203666","EFCAB2"
"379","ENSG00000199901",""
"380","ENSG00000234927","HMGN1P18"
"381","ENSG00000069956","MAPK6"
"382","ENSG00000263679",""
"383","ENSG00000199870",""
"384","ENSG00000212001",""
"385","ENSG00000201377","RNY4P23"
"386","ENSG00000200062","RNU4-58P"
"387","ENSG00000136267","DGKB"
"388","ENSG00000198995","MIR340"
"389","ENSG00000167136","ENDOG"
"390","ENSG00000241188","RN7SL165P"
"391","ENSG00000238884","RNU7-85P"
"392","ENSG00000225226",""
"393","ENSG00000251703","RNU6-998P"
"394","ENSG00000265623","MIR3139"
"395","ENSG00000264408","MIR4470"
"396","ENSG00000264091",""
"397","ENSG00000267429",""
"398","ENSG00000264160","MIR4762"
"399","ENSG00000197214","TCEA1P1"
"400","ENSG00000173890","GPR160"
"401","ENSG00000258873","DUXA"
"402","ENSG00000212358","RNU6-837P"
"403","ENSG00000208032","MIR548A3"
"404","ENSG00000248919","ATP5J2-PTCD1"
"405","ENSG00000252393","RNU6-1004P"
"406","ENSG00000265085",""
"407","ENSG00000200267","RNU6-66P"
"408","ENSG00000251818",""
"409","ENSG00000182307","C8orf33"
"410","ENSG00000222472","RN7SKP7"
"411","ENSG00000222468","RNA5SP261"
"412","ENSG00000267145",""
"413","ENSG00000223015","RNU6-1135P"
"414","ENSG00000221234",""
"415","ENSG00000169220","RGS14"
"416","ENSG00000179776","CDH5"
"417","ENSG00000263548","MIR5187"
"418","ENSG00000266855","MIR3910-2"
"419","ENSG00000266855","MIR3910-1"
"420","ENSG00000201050","RNU6-668P"
"421","ENSG00000263476","MIR3156-1"
"422","ENSG00000263554","MIR4788"
"423","ENSG00000201048",""
"424","ENSG00000176170","SPHK1"
"425","ENSG00000243847","RN7SL610P"
"426","ENSG00000263886",""
"427","ENSG00000231078",""
"428","ENSG00000221541",""
"429","ENSG00000212604",""
"430","ENSG00000242482","RN7SL392P"
"431","ENSG00000237611",""
"432","ENSG00000264794",""
"433","ENSG00000272128",""
"434","ENSG00000252855",""
"435","ENSG00000271995",""
"436","ENSG00000150276","PPIAP26"
"437","ENSG00000199276","RNA5SP26"
"438","ENSG00000222095",""
"439","ENSG00000207946","MIR516B1"
"440","ENSG00000251879",""
"441","ENSG00000179364","PACS2"
"442","ENSG00000197905","TEAD4"
"443","ENSG00000252847","RNU2-46P"
"444","ENSG00000263783","MIR5590"
"445","ENSG00000189320","FAM180A"
"446","ENSG00000207020",""
"447","ENSG00000266710","RN7SL48P"
"448","ENSG00000252811",""
"449","ENSG00000212511",""
"450","ENSG00000197321","SVIL"
"451","ENSG00000206702","RNU1-11P"
"452","ENSG00000212186","RNU6-258P"
"453","ENSG00000215938","MIR190B"
"454","ENSG00000222663","RNU4-55P"
"455","ENSG00000237268",""
"456","ENSG00000231605","LINC01363"
"457","ENSG00000168393","DTYMK"
"458","ENSG00000201088",""
"459","ENSG00000252383","RNU6-314P"
"460","ENSG00000224936","SUCLA2P1"
"461","ENSG00000211880","TRAJ9"
"462","ENSG00000212071",""
"463","ENSG00000221573",""
"464","ENSG00000233922",""
"465","ENSG00000118518","RNF146"
"466","ENSG00000252839","RNU6-419P"
"467","ENSG00000239823",""
"468","ENSG00000201096","RNA5SP387"
"469","ENSG00000167861","HID1"
"470","ENSG00000239396","RN7SL414P"
"471","ENSG00000207925","MIR516B2"
"472","ENSG00000242769","RN7SL432P"
"473","ENSG00000223169","RNA5SP209"
"474","ENSG00000264879","RN7SL690P"
"475","ENSG00000201695","RNA5SP334"
"476","ENSG00000252454","MIR2114"
"477","ENSG00000200086","RNU6-433P"
"478","ENSG00000223256","RNU6-785P"
"479","ENSG00000171495","MROH2B"
"480","ENSG00000221296","MIR548T"
"481","ENSG00000240977","RN7SL283P"
"482","ENSG00000252279","RNU6-406P"
"483","ENSG00000206817",""
"484","ENSG00000200495","RNU6-1205P"
"485","ENSG00000238344","SNORD126"
"486","ENSG00000221389",""
"487","ENSG00000234968","HLA-DQB3"
"488","ENSG00000109705","NKX3-2"
"489","ENSG00000252973","RNU6-1028P"
"490","ENSG00000251957","RNU6-1095P"
"491","ENSG00000264479",""
"492","ENSG00000238444","RNU6-893P"
"493","ENSG00000253567",""
"494","ENSG00000239138",""
"495","ENSG00000264165",""
"496","ENSG00000207625","MIR128-2"
"497","ENSG00000199235","RNU6-1063P"
"498","ENSG00000265654",""
"499","ENSG00000222520","RNA5SP451"
"500","ENSG00000185306","C12orf56"
"501","ENSG00000212224",""
"502","ENSG00000243051","RN7SL269P"
"503","ENSG00000263457",""
"504","ENSG00000235244",""
"505","ENSG00000207110","RNU1-106P"
"506","ENSG00000269839",""
"507","ENSG00000222328","RNU2-2P"
"508","ENSG00000266191",""
"509","ENSG00000202329","RNU6-609P"
"510","ENSG00000223341","RN7SKP3"
"511","ENSG00000265789","MIR4330"
"512","ENSG00000207395",""
"513","ENSG00000222613",""
"514","ENSG00000221774",""
"515","ENSG00000199986","RNU6-486P"
"516","ENSG00000265632",""
"517","ENSG00000200913","SNORD46"
"518","ENSG00000222784","RN7SKP91"
"519","ENSG00000243856","RN7SL551P"
"520","ENSG00000212397",""
"521","ENSG00000222389","RNU2-28P"
"522","ENSG00000202095","RNU6-1172P"
