Supplementary Table 4. Expression changes between control and Cushing's subjects whose age are between 40 and 60 years old,,,,,,,,
,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol
821,ENSG00000060982,197.7871348,0.490069557,0.174248594,2.812473533,0.004916207,0.692671543,BCAT1
2728,ENSG00000103024,180.6345711,-0.425450353,0.151157692,-2.814612652,0.004883606,0.692671543,NME3
3105,ENSG00000105516,112.5648482,-0.553467784,0.194247823,-2.849286936,0.004381734,0.692671543,DBP
3295,ENSG00000106524,142.0244132,0.374985403,0.132257734,2.835262581,0.004578803,0.692671543,ANKMY2
3946,ENSG00000111885,1652.82197,0.340293569,0.119946339,2.83704839,0.004553271,0.692671543,MAN1A1
5200,ENSG00000122176,2344.514217,-0.472166995,0.167397146,-2.820639455,0.004792804,0.692671543,FMOD
8636,ENSG00000145703,218.9918023,0.488819149,0.173545022,2.816670527,0.004852428,0.692671543,IQGAP2
14185,ENSG00000178860,114.7150989,0.548884629,0.195120963,2.813047965,0.004907433,0.692671543,MSC
14775,ENSG00000182636,387.3344097,-0.366185851,0.129355324,-2.830852574,0.004642411,0.692671543,NDN
16711,ENSG00000197912,470.4046819,-0.343799768,0.121208493,-2.836432989,0.004562055,0.692671543,SPG7
680,ENSG00000050628,960.1734988,0.336884166,0.120560991,2.794304887,0.005201142,0.722040839,PTGER3
2095,ENSG00000099624,210.5842453,-0.39334272,0.14129348,-2.78387028,0.005371451,0.724378564,ATP5D
17764,ENSG00000213015,127.7430446,-0.489246319,0.175577432,-2.786498881,0.00532808,0.724378564,ZNF580
2448,ENSG00000101191,483.1877551,-0.263600163,0.095283356,-2.766486961,0.005666385,0.737291027,DIDO1
7267,ENSG00000136868,191.4460023,0.383172195,0.138243291,2.771723626,0.005576036,0.737291027,SLC31A1
12465,ENSG00000169696,126.8800536,-0.41533881,0.150241669,-2.764471486,0.005701509,0.737291027,ASPSCR1
5992,ENSG00000128655,135.5781553,-0.536406054,0.195368039,-2.745618251,0.0060397,0.752203585,PDE11A
6659,ENSG00000133265,89.45745258,-0.442993725,0.161397307,-2.7447405,0.006055876,0.752203585,HSPBP1
14518,ENSG00000181035,113.9121288,-0.437285502,0.159155868,-2.74752987,0.006004604,0.752203585,SLC25A42
14149,ENSG00000178605,199.0157149,-0.373123501,0.136745257,-2.728602871,0.006360325,0.77975931,GTPBP6
4096,ENSG00000112936,689.1373611,0.528561749,0.194360332,2.719493959,0.006538189,0.785817214,C7
4885,ENSG00000119559,88.64830955,-0.448220284,0.164933914,-2.717575018,0.006576225,0.785817214,C19orf25
13991,ENSG00000177575,1040.819549,0.410358684,0.152078537,2.698333969,0.006968749,0.820227422,CD163
18885,ENSG00000234616,117.0015322,-0.428523264,0.159004278,-2.695042358,0.007037968,0.820227422,JRK
6647,ENSG00000133138,76.32682796,0.459204584,0.171045256,2.684696406,0.007259572,0.835736042,TBC1D8B
3888,ENSG00000111647,138.2921269,0.448517733,0.168082187,2.668442982,0.007620371,0.841365048,UHRF1BP1L
