Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
30,ENSG00000002919,119.4866714,-0.320038468,0.212137502,-1.508636923,0.131391593,0.540303986,0.033948602,0.117804963,0.773211764,NA,0.273981818,0.164191273,0.095181872,0.318746538,SNX11
31,ENSG00000002933,143.0218861,1.184762697,0.47269966,2.506375185,0.012197611,0.202795892,-0.067454334,0.282206874,0.811086649,NA,-1.262354262,0.389080317,0.001176749,0.023004435,TMEM176A
32,ENSG00000003056,552.0007533,0.351313831,0.210257165,1.670876861,0.094746003,0.477678705,-0.022555969,0.116886196,0.846979518,0.942748457,-0.241197748,0.163427934,0.139979842,0.390600482,M6PR
33,ENSG00000003096,17.02455307,-0.152891021,0.588049616,-0.259996805,0.794866238,0.953697153,-0.102752082,0.370599624,0.781581236,NA,-0.555850338,0.508688793,0.274520279,0.550162972,KLHL13
34,ENSG00000003137,384.2249992,-0.219294307,0.458401027,-0.478389651,0.632372898,0.903723184,0.115434273,0.27739858,0.677313818,0.885645071,0.104556833,0.370999752,0.778078056,0.902775528,CYP26B1
35,ENSG00000003147,145.4467996,-0.614409725,0.334186285,-1.838524656,0.065985132,0.418594321,0.396912067,0.193157284,0.039892084,NA,0.557660718,0.263166531,0.034086986,0.180496833,ICA1
36,ENSG00000003249,17.13290497,-0.17526141,0.548390373,-0.319592426,0.749277317,0.943204964,0.235222988,0.359150999,0.512505251,NA,0.63150704,0.465887255,0.175260451,0.438289211,DBNDD1
37,ENSG00000003393,162.7183985,0.138044703,0.181909838,0.758863319,0.447934323,0.813646391,0.052838106,0.097386592,0.587432525,NA,-0.145046728,0.14390849,0.313497932,0.591883794,ALS2
38,ENSG00000003400,170.9389465,0.46342251,0.303850943,1.525163969,0.127218205,0.531859581,0.070244408,0.169134853,0.677910599,NA,-0.553725258,0.241159649,0.021670499,0.139295995,CASP10
39,ENSG00000003402,2010.293925,0.123049712,0.215272705,0.571599226,0.56759352,0.870294959,-0.083326406,0.120718088,0.490033102,0.785073042,-0.15858351,0.166297431,0.340279212,0.617338676,CFLAR
40,ENSG00000003436,292.6730006,-0.294777638,0.293743799,-1.003519528,0.31561026,0.739620672,0.380538897,0.167109786,0.022775538,0.250715815,0.238537051,0.230160562,0.300018316,0.578557421,TFPI
41,ENSG00000003509,94.78865373,0.086475498,0.237686658,0.363821425,0.715991363,0.930219829,-0.041667044,0.128468807,0.745683754,NA,-0.148097062,0.187340933,0.42922319,0.691300844,NDUFAF7
42,ENSG00000003756,998.3608227,0.135546482,0.163922617,0.826893108,0.40829765,0.793025113,-0.0547176,0.090332424,0.544690083,0.811678547,-0.303266772,0.126572486,0.016575413,0.118441371,RBM5
43,ENSG00000003987,11.69465159,0.07278337,0.494346807,0.147231394,0.882949382,NA,-0.280050229,0.30167401,0.353241239,NA,0.102577854,0.405177036,0.800138405,0.914993191,MTMR7
44,ENSG00000003989,267.1562489,0.829462387,0.399205884,2.077780964,0.037729538,0.340010879,0.140198033,0.232122656,0.545855245,0.811746238,-0.927205163,0.320484958,0.003814214,0.047259801,SLC7A2
45,ENSG00000004059,333.1003507,0.037109416,0.19260406,0.192672033,0.847215828,0.963840073,-0.069524579,0.106472546,0.513768353,0.794594061,-0.021391756,0.14927987,0.886053517,0.952384442,ARF5
46,ENSG00000004139,14.5471927,-0.380432854,0.491931902,-0.773344547,0.439318499,NA,0.482070627,0.282223389,0.087614597,NA,-0.092101886,0.416001546,0.824782595,0.926081604,SARM1
47,ENSG00000004142,24.82465725,0.120898494,0.418176993,0.289108431,0.772498402,0.948630651,0.096225369,0.250827739,0.701251747,NA,0.313372842,0.341695247,0.359083907,0.634620189,POLDIP2
48,ENSG00000004399,1964.673415,0.178534455,0.175386959,1.017946007,0.308703616,0.733268949,0.014375084,0.097674521,0.882995218,0.957771287,-0.122607274,0.135205418,0.364500831,0.639587015,PLXND1
49,ENSG00000004455,480.5589971,-0.571449295,0.176529433,-3.237133239,0.00120737,0.062105517,0.079870767,0.098694016,0.418356006,0.738812447,0.500134433,0.135529575,0.000224057,0.007583172,AK2
50,ENSG00000004468,40.22321555,-0.341586847,0.609744949,-0.560212672,0.575334384,0.874856736,-0.032461686,0.419738595,0.938354771,NA,0.67932948,0.535037068,0.204196232,0.472555089,CD38
51,ENSG00000004478,183.1782242,0.240989242,0.243388317,0.990143016,0.322104221,0.743155784,-0.246827243,0.135181804,0.067866679,NA,-0.159567004,0.189582909,0.399970459,0.670079746,FKBP4
52,ENSG00000004487,253.5890683,0.053757548,0.179318872,0.299787453,0.764339287,0.947130924,-0.149983073,0.098014112,0.125962489,NA,-0.07303747,0.138886854,0.598973333,0.808655194,KDM1A
53,ENSG00000004534,741.6364778,-0.073780452,0.224190592,-0.329097003,0.74208237,0.940506006,-0.153287888,0.125483358,0.221866714,0.587150208,-0.083593872,0.173278227,0.629503558,0.826913057,RBM6
54,ENSG00000004660,74.59701133,0.750189435,0.475954726,1.576178139,0.114984755,0.512119137,0.280466974,0.281712697,0.31945521,NA,-0.854008231,0.395508411,0.030829464,0.170131595,CAMKK1
55,ENSG00000004700,341.6220019,0.288209277,0.265743496,1.084539345,0.278125732,0.711646844,0.060741171,0.1497804,0.685084412,0.888625734,-0.084932596,0.207802396,0.682746564,0.855284942,RECQL
56,ENSG00000004766,114.9536118,-0.054780854,0.216918096,-0.252541649,0.800622426,0.954892628,0.029326515,0.119219781,0.805692302,NA,0.077522495,0.169987034,0.648354413,0.836607944,CCDC132
57,ENSG00000004776,3454.031468,-1.041111552,0.283980851,-3.666132943,0.000246246,0.027510505,0.033598353,0.161908221,0.835607831,0.939709728,1.00591203,0.220832682,5.24E-06,0.00050317,HSPB6
58,ENSG00000004777,79.04732308,0.461751236,0.293205537,1.574838049,0.115293831,0.512799482,-0.357972532,0.151354152,0.018023651,NA,-0.919634058,0.233046525,7.94E-05,0.003763206,ARHGAP33
59,ENSG00000004779,186.3816062,-0.427021873,0.22571896,-1.891829876,0.058513651,0.399698393,-0.067715663,0.126541484,0.592562594,NA,0.349873013,0.173634328,0.043904744,0.207603265,NDUFAB1
60,ENSG00000004799,3144.023613,0.580220827,0.350370603,1.656020289,0.09771771,0.484495026,-0.482349179,0.203224048,0.01762112,0.234684055,-0.177452198,0.275676916,0.51977242,0.759651314,PDK4
61,ENSG00000004809,1.800316583,1.333394737,0.680046248,1.96074126,0.049909213,NA,-1.172796916,0.939300736,0.21181686,NA,0.752873443,0.996330775,0.449861421,NA,SLC22A16
62,ENSG00000004838,7.127452748,0.096682753,0.635677529,0.152094023,0.879112778,NA,-0.098410649,0.436638443,0.821681751,NA,-0.13773652,0.578769404,0.811895296,0.919633273,ZMYND10
63,ENSG00000004846,10.64366273,1.229947907,0.704641495,1.745494577,0.080898816,NA,-0.509221554,0.599591589,0.395725127,NA,-2.137927242,0.783348979,0.006348543,0.065091227,ABCB5
64,ENSG00000004848,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARX
65,ENSG00000004864,92.81434755,0.127587636,0.240719934,0.530025217,0.596094447,0.885071795,-0.038749697,0.132304918,0.769612535,NA,-0.030693834,0.189843546,0.871558149,0.946650899,SLC25A13
