Supplementary Table 4b. Cushing's effect on gene expression in Obese and Non-obese patients,,,,,,,,,,
,Row.names,log2FC_NotObese_CushingvCon,lfcSE_NotObese_CushingvCon,pvalue_NotObese_CushingvCon,padj_NotObese_CushingvCon,log2FC_Obese_CushingvCon,lfcSE_Obese_CushingvCon,pvalue_Obese_CushingvCon,padj_Obese_CushingvCon,external_gene_id
48,ENSG00000004399,-0.122103684,0.134541797,0.364114938,0.624756674,0.056275313,0.113483243,0.61997135,0.959157654,PLXND1
49,ENSG00000004455,0.497870173,0.134884695,0.000223304,0.006717346,-0.073839634,0.114903101,0.520467296,0.942568127,AK2
50,ENSG00000004468,0.576464996,0.482125768,0.231824004,0.489297142,0.25219885,0.437011881,0.563872996,0.948110311,CD38
51,ENSG00000004478,-0.161386026,0.187694236,0.389880141,0.645242817,0.083753382,0.15754025,0.594981144,0.949960136,FKBP4
52,ENSG00000004487,-0.073349801,0.138150848,0.595460408,0.795746528,-0.018354597,0.115322448,0.873543665,0.986104138,KDM1A
53,ENSG00000004534,-0.082438744,0.171867811,0.63146657,0.818663623,-0.1548389,0.146015354,0.288949525,0.863901701,RBM6
54,ENSG00000004660,-0.780828829,0.374234679,0.036936216,0.177641365,-0.070620364,0.313810111,0.821946827,0.975266868,CAMKK1
55,ENSG00000004700,-0.085951424,0.205296494,0.675457534,0.844375818,0.201977158,0.172177785,0.240766423,0.835382887,RECQL
56,ENSG00000004766,0.076766894,0.168611318,0.648901273,0.828946222,0.021890606,0.138237959,0.874177445,0.986116904,CCDC132
57,ENSG00000004776,0.990373182,0.217885604,5.48E-06,0.000469827,-0.049088943,0.186497134,0.792384458,0.972736709,HSPB6
58,ENSG00000004777,-0.899672104,0.228556286,8.27E-05,0.003509344,-0.436833312,0.186665968,0.019274076,0.43596928,ARHGAP33
59,ENSG00000004779,0.346442292,0.172270483,0.044321563,0.196509333,-0.079270472,0.1480241,0.592287499,0.949960136,NDUFAB1
60,ENSG00000004799,-0.194750023,0.269755455,0.470325053,0.710580359,0.405653744,0.232094506,0.080499437,0.665921612,PDK4
61,ENSG00000004809,-0.361047718,0.574768009,0.529897483,NA,1.514029985,0.597786741,0.01131794,NA,SLC22A16
62,ENSG00000004838,-0.12584272,0.505882572,0.803547395,NA,-0.018825683,0.454931188,0.966991852,NA,ZMYND10
63,ENSG00000004846,-1.529293839,0.572566115,0.007563755,NA,-0.353426696,0.548126034,0.519062679,0.941837405,ABCB5
64,ENSG00000004848,NA,NA,NA,NA,NA,NA,NA,NA,ARX
65,ENSG00000004864,-0.031934756,0.187882991,0.865032542,0.939536268,0.096675187,0.152868627,0.527120973,0.943273533,SLC25A13
66,ENSG00000004866,-0.0072217,0.199300555,0.971094799,0.986545582,-0.044539975,0.167554621,0.790375057,0.972736709,ST7
67,ENSG00000004897,0.377065371,0.150855979,0.012436672,0.091148915,0.061786585,0.125936258,0.623696709,0.959157654,CDC27
68,ENSG00000004939,0.294272764,0.548951907,0.591915063,NA,-0.474460994,0.584619058,0.417036737,NA,SLC4A1
69,ENSG00000004948,-0.05671534,0.577968655,0.92183006,NA,-0.96052994,0.554503027,0.083231605,NA,CALCR
70,ENSG00000004961,0.422470401,0.193269795,0.028822182,0.153517724,0.125978417,0.163652318,0.441422662,0.921917427,HCCS
71,ENSG00000004975,-0.225131169,0.173672228,0.194872427,0.447383705,-0.471544996,0.146063543,0.001245043,0.159950649,DVL2
72,ENSG00000005001,0.037031995,0.442356237,0.933282775,NA,0.863139875,0.494660733,0.081000039,NA,PRSS22
73,ENSG00000005007,-0.128119572,0.116670923,0.272148733,0.531456489,-0.030767858,0.097471556,0.752260698,0.96969296,UPF1
74,ENSG00000005020,0.201920976,0.164784813,0.220439022,0.476135072,0.039396359,0.138441915,0.775973911,0.970885904,SKAP2
75,ENSG00000005022,0.239505631,0.159148158,0.132344023,0.361820996,0.223784057,0.135300488,0.098131944,0.700839076,SLC25A5
76,ENSG00000005059,-0.24101405,0.275037255,0.38086913,0.637877746,0.257307717,0.224251949,0.251214442,0.840014151,CCDC109B
77,ENSG00000005073,0.640593547,0.428255207,0.134700055,0.364985496,-0.175393602,0.381772336,0.64593305,0.962054522,HOXA11
78,ENSG00000005075,-0.021995303,0.216428354,0.919051506,0.963119677,-0.051723752,0.181002886,0.775060391,0.970885904,POLR2J
79,ENSG00000005100,0.014480862,0.169530844,0.931929664,0.969287888,-0.162889174,0.13833946,0.239011972,0.834791934,DHX33
80,ENSG00000005102,-0.709831079,0.213207362,0.000870648,0.017071847,0.026162127,0.177491031,0.882816533,0.986314891,MEOX1
81,ENSG00000005108,0.282016524,0.330778749,0.393890282,0.648228076,-0.077252915,0.285166177,0.786464174,0.972449063,THSD7A
82,ENSG00000005156,-0.024827882,0.264053836,0.925088636,0.966374251,0.047594749,0.218908133,0.827881964,0.977192452,LIG3
83,ENSG00000005175,-0.042549421,0.256878958,0.868440296,0.940803766,0.180226596,0.21291063,0.397279773,0.912249606,RPAP3
84,ENSG00000005187,0.537092047,0.332660075,0.106410967,0.324347723,-0.152668723,0.286700381,0.594377883,0.949960136,ACSM3
85,ENSG00000005189,0.266525419,0.338587651,0.431183433,0.677275704,0.413298586,0.292156504,0.157171755,0.781620854,AC004381.6
86,ENSG00000005194,0.11813512,0.172872766,0.494376514,0.727693513,0.046344436,0.142124201,0.74436076,0.968950879,CIAPIN1
87,ENSG00000005238,0.363102029,0.145431243,0.012534561,0.091403825,0.074438046,0.12289488,0.544710647,0.944136415,FAM214B
88,ENSG00000005243,0.088197573,0.214511049,0.680957917,0.846315217,0.183198753,0.182240873,0.314773537,0.874432313,COPZ2
89,ENSG00000005249,0.425655768,0.19680926,0.030557856,0.158776071,0.044383915,0.168044495,0.791687441,0.972736709,PRKAR2B
90,ENSG00000005302,0.054231436,0.167960291,0.74678424,0.882124987,-0.037075899,0.137702889,0.787740681,0.972449063,MSL3
91,ENSG00000005339,-0.051666283,0.144812289,0.72125571,0.869092471,-0.058622591,0.121312955,0.628929326,0.960640446,CREBBP
92,ENSG00000005379,-1.271200646,0.447535149,0.004505011,0.048388716,-0.945655294,0.395582531,0.016823682,0.419277482,BZRAP1
93,ENSG00000005381,0.113434812,0.509317858,0.82375414,NA,0.191173114,0.558661945,0.732201737,NA,MPO
94,ENSG00000005421,-0.145182363,0.523150491,0.781384315,NA,0.54944153,0.567226043,0.332721586,NA,PON1
95,ENSG00000005436,0.127191313,0.190568847,0.504497685,0.734635599,0.091171168,0.15909598,0.566605664,0.948110311,GCFC2
96,ENSG00000005448,-0.479504692,0.346475373,0.166373677,0.410579409,-0.184836514,0.269470338,0.492760235,0.934665693,WDR54
97,ENSG00000005469,-0.213537747,0.246830589,0.386973667,0.643687148,0.288149186,0.201424289,0.152556851,0.775904188,CROT
98,ENSG00000005471,-0.323287684,0.463810504,0.485786923,NA,-0.333420011,0.401651279,0.406469179,0.914601749,ABCB4
99,ENSG00000005483,-0.148956922,0.177034537,0.400123687,0.654154985,-0.067073368,0.147909067,0.650205263,0.962837935,KMT2E
100,ENSG00000005486,-0.021597315,0.56217701,0.96935498,NA,-0.183991882,0.525834317,0.726410244,NA,RHBDD2
101,ENSG00000005513,-1.413300873,0.559707502,0.01156751,NA,0.298767812,0.513073654,0.560358032,NA,SOX8
102,ENSG00000005700,0.453611238,0.151664429,0.00278168,0.035579644,0.082901163,0.127507825,0.515585454,0.941085057,IBTK
103,ENSG00000005801,-0.156678947,0.198840818,0.430719116,0.676892833,0.037042733,0.160275981,0.817222798,0.975223778,ZNF195
104,ENSG00000005810,0.657932091,0.195146265,0.00074765,0.015365356,0.170034345,0.166043419,0.305818539,0.870470877,MYCBP2
105,ENSG00000005812,0.271875007,0.151706168,0.073114432,0.261517693,0.057617518,0.128280851,0.653322477,0.963653611,FBXL3
106,ENSG00000005844,-0.694896638,0.393687812,0.077547694,0.26983062,-0.075700305,0.337093331,0.822315522,0.97543661,ITGAL
107,ENSG00000005882,-0.469836378,0.317129926,0.138466339,0.370762453,-0.127692624,0.275610531,0.643143456,0.961668797,PDK2
108,ENSG00000005884,-0.492412687,0.284132962,0.083089249,0.280426215,0.831967733,0.241265044,0.00056401,0.123958869,ITGA3
109,ENSG00000005889,0.289952903,0.261595356,0.267688098,0.527882886,0.059330141,0.223639144,0.790782924,0.972736709,ZFX
110,ENSG00000005893,0.026031894,0.127275386,0.837937758,0.92805656,0.230702992,0.10475637,0.027645446,0.494653265,LAMP2
111,ENSG00000005955,-0.188248007,0.290228519,0.516584058,0.742740945,-0.347024933,0.249290157,0.163906564,0.78688626,GGNBP2
112,ENSG00000005961,-0.018637149,0.491507303,0.969752778,NA,0.189794304,0.4460116,0.670445475,0.966790355,ITGA2B
113,ENSG00000005981,-0.338927571,0.583053688,0.561040057,NA,-0.20145848,0.584923367,0.730531512,NA,ASB4
114,ENSG00000006007,0.627841884,0.158644282,7.57E-05,0.00325804,-0.043926785,0.135644894,0.746061727,0.968950879,GDE1
115,ENSG00000006015,-0.4709987,0.184771526,0.010800535,0.084600652,-0.218488976,0.152349772,0.151535921,0.77345331,C19orf60
116,ENSG00000006016,0.68176654,0.453053463,NA,NA,0.792222229,0.402431141,NA,NA,CRLF1
117,ENSG00000006025,-0.477795626,0.261584674,0.067768527,0.249823056,-0.397146679,0.212238135,0.061313004,0.611559128,OSBPL7
118,ENSG00000006042,-0.475449636,0.248743964,0.055952978,0.224942811,-0.099294855,0.204457262,0.627214695,0.96060998,TMEM98
119,ENSG00000006047,0.540731137,0.34894316,0.121231485,0.345929479,-0.532120869,0.309962575,0.086029214,0.678281095,YBX2
120,ENSG00000006059,NA,NA,NA,NA,NA,NA,NA,NA,KRT33A
121,ENSG00000006071,0.180158282,0.587997709,0.759305566,NA,-0.033425082,0.577704933,0.95386142,NA,ABCC8
122,ENSG00000006074,-0.989178492,0.584509588,0.090584577,0.294344504,0.244015541,0.569599958,0.668361306,0.966790355,CCL18
123,ENSG00000006075,0.013987098,0.57432044,0.980570105,0.99134469,0.665613576,0.549073394,0.225417147,0.826287254,CCL3
124,ENSG00000006114,0.170980113,0.134003915,0.201978952,0.454949774,0.030641664,0.1108207,0.78216586,0.971349294,SYNRG
125,ENSG00000006116,NA,NA,NA,NA,NA,NA,NA,NA,CACNG3
126,ENSG00000006118,-0.510995088,0.342288191,0.135468682,0.366178737,-0.043740612,0.290558929,0.880338945,0.986260155,TMEM132A
127,ENSG00000006125,0.088055755,0.127689781,0.490441424,0.724934488,0.081114442,0.105575281,0.442303609,0.921992245,AP2B1
128,ENSG00000006128,0.111294462,0.527516016,0.83290416,NA,-0.221058757,0.572224242,0.699263459,NA,TAC1
129,ENSG00000006194,-0.230188441,0.165960735,0.165440107,0.409817001,-0.219836043,0.13668712,0.10776605,0.714097083,ZNF263
130,ENSG00000006210,-0.662581877,0.286109336,0.020567305,0.126092025,-0.154071611,0.242964625,0.525994769,0.943273533,CX3CL1
131,ENSG00000006282,0.462570505,0.277191628,0.095161946,0.303103987,-0.751778548,0.239621835,0.001704801,0.185200774,SPATA20
132,ENSG00000006283,-0.110806224,0.575792056,0.847396473,NA,-0.010008299,0.591973417,0.986511072,NA,CACNA1G
133,ENSG00000006327,0.337934053,0.482312512,0.483519148,0.719296268,0.218928929,0.419302584,0.601582359,0.953212264,TNFRSF12A
134,ENSG00000006377,-0.087480733,0.51502165,0.865121529,NA,-0.157385787,0.558096187,0.777939853,NA,DLX6
135,ENSG00000006432,0.400042025,0.554840912,0.470907599,NA,-0.220791246,0.522592424,0.672665761,NA,MAP3K9
136,ENSG00000006451,0.655480269,0.180027108,0.000271572,0.007793614,-0.119974461,0.154918023,0.438671601,0.921917427,RALA
137,ENSG00000006453,-0.555586735,0.352012368,0.114493043,0.336719001,0.320957026,0.300038359,0.284745372,0.860598941,BAIAP2L1
138,ENSG00000006459,0.061692699,0.257679049,0.810782388,0.913677044,0.067466382,0.217817813,0.756760452,0.969703261,KDM7A
139,ENSG00000006468,-0.07641152,0.359592366,0.831721007,0.924422293,-0.346470959,0.305961975,0.257466829,0.845953032,ETV1
140,ENSG00000006530,0.266452288,0.301645242,0.377058007,0.635388957,-0.4292214,0.265306263,0.105698452,0.711028441,AGK
141,ENSG00000006534,-0.071153557,0.315148777,0.821374344,0.91902228,0.597736306,0.267151366,0.025257314,0.481425398,ALDH3B1
142,ENSG00000006555,-0.024434909,0.577869348,0.966271912,NA,-0.229832273,0.566384656,0.684898148,NA,TTC22
143,ENSG00000006576,0.034477108,0.189673874,0.855762866,0.9362279,0.197575323,0.152913126,0.196330955,0.80532049,PHTF2
144,ENSG00000006606,NA,NA,NA,NA,NA,NA,NA,NA,CCL26
145,ENSG00000006607,-0.111231246,0.162066422,0.492504264,0.726177351,-0.309056697,0.133952519,0.021043072,0.445023401,FARP2
146,ENSG00000006611,0.022405592,0.145454407,0.877579307,NA,-0.090905979,0.168680719,0.589939743,NA,USH1C
147,ENSG00000006625,0.050625809,0.242489231,0.834623501,0.926060454,0.148436927,0.205835365,0.470820957,0.92860739,GGCT
148,ENSG00000006634,0.105783412,0.352444495,0.764068808,0.889454032,0.030417241,0.29282997,0.917269828,0.988902443,DBF4
149,ENSG00000006638,-0.407206216,0.418881372,0.330986986,0.592104236,-0.097864557,0.37162525,0.792286947,0.972736709,TBXA2R
150,ENSG00000006652,0.168928498,0.222570445,0.447859194,0.691027324,0.079989247,0.188504336,0.671320511,0.966790355,IFRD1
151,ENSG00000006659,NA,NA,NA,NA,NA,NA,NA,NA,LGALS14
152,ENSG00000006695,0.232620792,0.215545991,0.28049122,0.540163498,0.121166348,0.180262549,0.501478054,0.937640847,COX10
153,ENSG00000006704,-0.098394235,0.566631577,0.862142391,NA,-0.324089025,0.541139151,0.549238602,NA,GTF2IRD1
154,ENSG00000006712,0.209030235,0.142526795,0.142484066,0.376796798,0.03453084,0.119889455,0.773329649,0.970885904,PAF1
155,ENSG00000006715,0.184412725,0.126279728,0.144193637,0.379221656,0.198806339,0.104337736,0.05672658,0.597839523,VPS41
156,ENSG00000006740,-0.814730978,0.29540572,0.005815499,0.056690454,-0.350599401,0.240276014,0.144523077,0.764383683,ARHGAP44
157,ENSG00000006744,0.077389157,0.16320156,0.63536176,0.821358019,-0.133183968,0.138277204,0.335463983,0.889728208,ELAC2
