Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,FC
Maf,2.020532663147903e-6,0.12492321588863098,0.226,0.157,0.028022767505198266,0.9170528499256742
Sp3,2.749637406105205e-5,0.12871864044698977,0.334,0.268,0.3813472118527309,0.9146434491478603
Dido1,2.1700775897865454e-8,0.1349868223946678,0.224,0.142,3.00968060927496e-4,0.9106781517064249
Tef,1.4753968341235994e-7,0.13682746294007758,0.122,0.064,0.00204622786924602,0.9095170176899016
Srebf2,6.578186850190827e-8,0.14284576053594755,0.145,0.08,9.123287342529658e-4,0.905730810111114
Plagl1,1.0506243936709932e-9,0.1430404689970949,0.129,0.058,1.4571109715823005e-5,0.9056085794613133
Ncoa3,1.6480756106313756e-6,0.14704789924247308,0.311,0.238,0.022857160643846547,0.903096525743234
Gli2,3.461398569067099e-9,0.14972912234997113,0.173,0.096,4.80061367543916e-5,0.9014196955536722
Nr2f2,4.1929517556979e-15,0.15396646700636868,0.113,0.028,5.815204789977417e-11,0.8987760168888348
Klf15,8.685818380266165e-10,0.15897795165138784,0.164,0.087,1.2046361511591143e-5,0.8956593581249148
Ssbp3,2.917003380223152e-6,0.16002894864993134,0.143,0.088,0.04045591988031489,0.8950071118258912
Zhx3,2.1874271522258368e-7,0.17329763990516744,0.389,0.306,0.003033742717422013,0.8868133293621993
Ugp2,1.0057795219627616e-7,0.17521695549919844,0.21,0.137,0.001394915619010154,0.8856343255445158
Hoxc5,2.84866843639201e-6,0.17640828775149336,0.27,0.203,0.039508182544320786,0.8849032984058371
Ccnt2,7.789469694487949e-7,0.1766390108579946,0.431,0.356,0.010803215519285337,0.8847617914987753
Ppargc1a,3.4729908824705876e-6,0.17998556973272212,0.211,0.148,0.04816691054898458,0.8827118253941767
Gtf2i,1.5670395583604744e-4,0.18463971468796492,0.451,0.407,1,0.8798687787764866
Ncoa1,1.1201472082296616e-7,0.18490566832154198,0.384,0.311,0.0015535321630937178,0.8797065943059521
Zfp207,1.3701000188535585e-5,0.18697371331569346,0.79,0.781,0.19001917161480003,0.8784464738626386
Taf6,2.1828115062498854e-11,0.1900249715964669,0.167,0.081,3.027341278017966e-7,0.876590548286209
Ep300,5.695308623187628e-9,0.19088639910574312,0.274,0.186,7.89882352949892e-5,0.8760672957645161
Ebf1,1.2480786898349095e-14,0.20676030562109826,0.99,0.987,1.730960334932036e-10,0.8664808045804967
Srebf1,1.7300275588371082e-10,0.20951641879118774,0.215,0.126,2.3993752213511854e-6,0.8648270666667454
Arntl,1.1270734128719645e-5,0.21708232559283241,0.325,0.269,0.15631381163121275,0.8603035370625568
Smarca2,5.397045282267604e-10,0.22874995644620238,0.283,0.195,7.48516210197694e-6,0.8533739895020203
Fus,1.0607324964411734e-9,0.24152022080913105,0.543,0.468,1.4711298993142633e-5,0.8458535356255164
Meis1,2.1072693638144437e-17,0.24266000970312798,0.203,0.087,2.922571880674252e-13,0.8451855401715125
Thrap3,3.339943787794664e-10,0.24454137554618594,0.535,0.456,4.63216803929242e-6,0.8440840829583776
Cdkn2c,1.0458112823803518e-15,0.2485464187012997,0.212,0.101,1.4504356675333099e-11,0.8417440838481509
Nrip1,1.783477753130781e-4,0.2491304437870019,0.821,0.814,1,0.8414034018906604
Ar,6.261085613474483e-10,0.2809165706635407,0.383,0.289,8.68349963732776e-6,0.8230679409415275
Nr3c1,1.1349634724962381e-22,0.32508144650970966,0.366,0.207,1.5740808400050327e-18,0.7982533201575064
Esr1,3.593506225518482e-14,0.32735666537224306,0.345,0.235,4.983833784171582e-10,0.7969954177028349
Ppargc1b,2.407865125708611e-19,0.35211905756278966,0.343,0.203,3.3394681428452723e-15,0.7834325319709828
Dmrt2,2.0567564750491346e-26,0.398156561724177,0.296,0.132,2.852515555245645e-22,0.7588272738418058
Tcf7l2,1.7904476966734982e-19,0.40951293781893305,0.745,0.655,2.4831719105164745e-15,0.7528775066007793
Bcl6,4.536113553002175e-8,0.4500330781361259,0.493,0.426,6.291135886658717e-4,0.7320260638745143
Nfib,1.5995642306895575e-31,0.45314664347409206,0.915,0.847,2.2184356315433473e-27,0.7304479387455745
Nr1d2,2.0557741954048593e-4,0.4645022150977729,0.294,0.244,1,0.7247210906045789
Zfpm2,4.70748545359124e-37,0.5399753501800336,0.478,0.256,6.52881157558569e-33,0.6877826603918351
Sox6,1.470518712889694e-42,0.5605003377036093,0.662,0.461,2.0394624029067166e-38,0.6780669641187097
Ebf2,1.4726204349983268e-56,0.737746529731265,0.524,0.239,2.0423772812991795e-52,0.5996753059158437
Ank2,3.8630470711910304e-120,1.0862378099257937,0.796,0.482,5.35765998303484e-116,0.4709879941736968
Pparg,6.333615275023398e-144,1.2542676138928588,0.963,0.839,8.78409102492995e-140,0.4192063239889948
Nfia,5.098746239860142e-267,1.7115887403920715,0.988,0.877,7.07145116006203e-263,0.3053236523729454
Thrsp,2.870952645409925e-289,2.9883941418705766,0.842,0.185,3.981724223919025e-285,0.1260096265398131
