Gene,Normalized Expression,ID ,Treatment
Acsl1,0.000119973,418,Water
Acsl1,1.34224E-05,419,Water
Acsl1,9.45822E-06,420,Water
Acsl1,1.42699E-05,421,Water
Acsl1,4.74467E-05,425,Dexamethasone
Acsl1,0.000202471,427,Dexamethasone
Acsl1,7.7793E-05,431,Dexamethasone
Acsl1,0.000228582,432,Dexamethasone
Dgat2,1.057018041,411,Water
Dgat2,0.929804943,412,Water
Dgat2,0.819793998,413,Water
Dgat2,1.093030254,414,Water
Dgat2,0.117034031,415,Water
Dgat2,1.307369247,416,Water
Dgat2,0.539614118,417,Water
Dgat2,1.613283518,418,Water
Dgat2,0.284861654,419,Water
Dgat2,0.840896415,420,Water
Dgat2,0.263036212,421,Water
Dgat2,1.617015304,425,Dexamethasone
Dgat2,0.873572896,427,Dexamethasone
Dgat2,2.703821666,431,Dexamethasone
Dgat2,1.189207115,432,Dexamethasone
Agpat2,0.045279442,411,Water
Agpat2,0.06886907,412,Water
Agpat2,0.032539442,413,Water
Agpat2,0.042344938,414,Water
Agpat2,0.00532378,415,Water
Agpat2,0.057180485,416,Water
Agpat2,0.026369244,417,Water
Agpat2,0.045436641,418,Water
Agpat2,0.013461659,419,Water
Agpat2,0.017660459,420,Water
Agpat2,0.005989564,421,Water
Agpat2,0.039922153,425,Dexamethasone
Agpat2,0.042541066,427,Dexamethasone
Agpat2,0.116225618,431,Dexamethasone
Agpat2,0.054221168,432,Dexamethasone
Gpd1,0.244855074,411,Water
Gpd1,0.279321785,412,Water
Gpd1,0.361817309,413,Water
Gpd1,1.081724666,414,Water
Gpd1,0.330640037,415,Water
Gpd1,1.135504429,416,Water
Gpd1,1.350349946,417,Water
Gpd1,3.215403963,418,Water
Gpd1,0.604997045,419,Water
Gpd1,0.833160684,420,Water
Gpd1,0.453759578,421,Water
Gpd1,2.0139111,425,Dexamethasone
Gpd1,2.242332156,427,Dexamethasone
Gpd1,3.850377772,431,Dexamethasone
Gpd1,3.74508899,432,Dexamethasone
Dhcr7,0.000122494,411,Water
Dhcr7,0.000208886,412,Water
Dhcr7,0.00014856,413,Water
Dhcr7,0.000304416,414,Water
Dhcr7,0.000146177,415,Water
Dhcr7,0.000241058,416,Water
Dhcr7,0.000553166,417,Water
Dhcr7,0.001018033,418,Water
Dhcr7,0.000204587,419,Water
Dhcr7,0.000938948,420,Water
Dhcr7,0.000319182,421,Water
Dhcr7,0.000823087,425,Dexamethasone
Dhcr7,0.001069881,427,Dexamethasone
Dhcr7,0.000920688,431,Dexamethasone
Dhcr7,0.001045445,432,Dexamethasone
Dhcr24,5.12151E-06,411,Water
Dhcr24,9.16776E-06,412,Water
Dhcr24,1.15907E-05,413,Water
Dhcr24,2.29152E-05,414,Water
Dhcr24,1.2437E-05,415,Water
Dhcr24,2.87051E-05,416,Water
Dhcr24,2.64752E-05,417,Water
Dhcr24,7.28354E-05,418,Water
Dhcr24,2.24177E-05,419,Water
Dhcr24,0.000149939,420,Water
Dhcr24,2.09407E-05,421,Water
Dhcr24,0.000146177,425,Dexamethasone
Dhcr24,0.000436519,427,Dexamethasone
Dhcr24,0.00020506,431,Dexamethasone
Dhcr24,0.000174438,432,Dexamethasone
Acaca,0.010428436,411,Water
Acaca,0.014936646,412,Water
Acaca,0.024975661,413,Water
Acaca,0.053536501,414,Water
Acaca,0.016157338,415,Water
Acaca,0.062934722,416,Water
Acaca,0.021592389,417,Water
Acaca,0.117169312,418,Water
Acaca,0.005640348,419,Water
Acaca,0.022587473,420,Water
Acaca,0.003825861,421,Water
Acaca,0.070153878,425,Dexamethasone
Acaca,0.10083022,427,Dexamethasone
Acaca,0.090141379,431,Dexamethasone
Acaca,0.079936599,432,Dexamethasone
Nr3c1,0.058045713,411,Water
Nr3c1,0.023683071,412,Water
Nr3c1,0.111105335,413,Water
Nr3c1,0.116359965,414,Water
Nr3c1,0.029462017,415,Water
Nr3c1,0.138376098,416,Water
Nr3c1,0.071297732,417,Water
Nr3c1,0.2049485,418,Water
Nr3c1,0.049263627,419,Water
Nr3c1,0.150900205,420,Water
Nr3c1,0.026768251,421,Water
Nr3c1,0.129109464,425,Dexamethasone
Nr3c1,0.087980849,427,Dexamethasone
Nr3c1,0.085082132,431,Dexamethasone
Nr3c1,0.166085727,432,Dexamethasone
Scd1,0.187288385,411,Water
Scd1,0.135841858,412,Water
Scd1,0.318640157,413,Water
Scd1,0.288504688,414,Water
Scd1,0.080306839,415,Water
Scd1,0.655196702,416,Water
Scd1,0.313528102,417,Water
Scd1,0.293886977,418,Water
Scd1,0.095611856,419,Water
Scd1,1.125058485,420,Water
Scd1,0.034157195,421,Water
Scd1,0.081427881,425,Dexamethasone
Scd1,0.202594465,427,Dexamethasone
Scd1,0.088388348,431,Dexamethasone
Scd1,0.095611856,432,Dexamethasone
Scd2,1.56697E-05,411,Water
Scd2,8.66164E-05,412,Water
Scd2,6.24618E-05,413,Water
Scd2,0.000148904,414,Water
Scd2,5.87521E-05,415,Water
Scd2,9.15551E-05,416,Water
Scd2,2.56325E-05,417,Water
Scd2,0.000232578,418,Water
Scd2,1.89602E-05,419,Water
Scd2,0.001262063,420,Water
Scd2,1.40247E-05,421,Water
Scd2,0.00049567,425,Dexamethasone
Scd2,0.000242454,427,Dexamethasone
Scd2,0.000322145,431,Dexamethasone
Scd2,0.000197618,432,Dexamethasone
Scd3,0.000253335,411,Water
Scd3,0.000155048,412,Water
Scd3,0.000361596,413,Water
Scd3,0.000360762,414,Water
Scd3,7.10076E-05,415,Water
Scd3,0.000685764,416,Water
Scd3,0.000342486,417,Water
Scd3,0.000338161,418,Water
Scd3,0.000102293,419,Water
Scd3,0.001094889,420,Water
Scd3,5.55187E-05,421,Water
Scd3,7.83341E-05,425,Dexamethasone
Scd3,0.001908516,427,Dexamethasone
Scd3,0.000158855,431,Dexamethasone
Scd3,0.000113896,432,Dexamethasone
Scd4,1.65058E-05,411,Water
Scd4,1.36097E-05,412,Water
Scd4,4.33161E-06,413,Water
Scd4,1.06657E-05,414,Water
Scd4,3.13088E-06,415,Water
Scd4,9.16776E-06,416,Water
Scd4,1.07027E-05,417,Water
Scd4,2.23402E-05,418,Water
Scd4,1.14444E-05,419,Water
Scd4,0.000452436,420,Water
Scd4,2.5134E-05,421,Water
Scd4,1.45026E-05,425,Dexamethasone
Scd4,1.55794E-05,427,Dexamethasone
Scd4,1.32835E-05,431,Dexamethasone
Scd4,2.47308E-05,432,Dexamethasone
