Group,Glycerol,Experiment
Pre-Adipocytes,0.007897603,1
Pre-Adipocytes,0.012314007,2
Mature Adipocytes,0.275962237,1
Mature Adipocytes,0.090777052,2
Mature Adipocytes,0.156136529,3
Mature Adipocytes + Dexamethasone,0.479302832,1
Mature Adipocytes + Dexamethasone,0.155617803,2
Mature Adipocytes + Dexamethasone,0.261956635,3
