Liver.TG,Diet,Treatment
1.054261578,Normal Chow Diet,Water
0.78020563,Normal Chow Diet,Water
1.074079392,Normal Chow Diet,Water
0.739853977,Normal Chow Diet,Water
1.043544704,Normal Chow Diet,Water
0.609320161,Normal Chow Diet,Water
1.237649028,Normal Chow Diet,Water
1.221409959,Normal Chow Diet,Water
0.938233907,Normal Chow Diet,Dexamethasone
0.737586931,Normal Chow Diet,Dexamethasone
0.272415036,Normal Chow Diet,Dexamethasone
0.696402814,Normal Chow Diet,Dexamethasone
0.363043384,Normal Chow Diet,Dexamethasone
0.85288017,Normal Chow Diet,Dexamethasone
0.693393025,Normal Chow Diet,Dexamethasone
0.32327427,Normal Chow Diet,Dexamethasone
1.910762978,High Fat Diet,Water
1.268614209,High Fat Diet,Water
30.21212466,High Fat Diet,Water
1.641828525,High Fat Diet,Water
2.054701995,High Fat Diet,Water
92.34869706,High Fat Diet,Dexamethasone
154.7306656,High Fat Diet,Dexamethasone
69.42482535,High Fat Diet,Dexamethasone
120.0953768,High Fat Diet,Dexamethasone
103.1552971,High Fat Diet,Water
1.691878981,High Fat Diet,Water
1.281726501,High Fat Diet,Water
108.1566472,High Fat Diet,Dexamethasone
138.2254069,High Fat Diet,Dexamethasone
159.8908312,High Fat Diet,Dexamethasone
133.644222,High Fat Diet,Dexamethasone
145.7184618,High Fat Diet,Dexamethasone
120.6258154,High Fat Diet,Dexamethasone
3.5720928,High Fat Diet,Dexamethasone
97.49122579,High Fat Diet,Dexamethasone
