Gene,ID,Normalized.Expression,Treatment
Fbxo32,1740,0.011491147,Dexamethasone
Fbxo32,1741,0.010308656,Water
Fbxo32,1742,0.01558894,Water
Fbxo32,1743,0.078382026,Dexamethasone
Fbxo32,1770,0.017865664,Water
Fbxo32,1771,0.030784188,Water
Fbxo32,1772,0.618423337,Dexamethasone
Fbxo32,1773,0.072795849,Dexamethasone
Trim63,1740,0.005825779,Dexamethasone
Trim63,1741,0.012315907,Water
Trim63,1742,0.021443239,Water
Trim63,1743,0.058449453,Dexamethasone
Trim63,1770,0.020522259,Water
Trim63,1771,0.03186979,Water
Trim63,1772,0.509327905,Dexamethasone
Trim63,1773,0.103187015,Dexamethasone
Srebf1,1740,0.001293056,Dexamethasone
Srebf1,1741,0.001932923,Water
Srebf1,1742,0.000818347,Water
Srebf1,1743,0.002285407,Dexamethasone
Srebf1,1770,0.000928164,Water
Srebf1,1771,0.002267,Water
Srebf1,1772,0.002264382,Dexamethasone
Srebf1,1773,0.002093308,Dexamethasone
Ppp1r3c,1740,0.0242927,Dexamethasone
Ppp1r3c,1741,0.040014499,Water
Ppp1r3c,1742,0.091717023,Water
Ppp1r3c,1743,0.160428237,Dexamethasone
Ppp1r3c,1770,0.056198158,Water
Ppp1r3c,1771,0.059060334,Water
Ppp1r3c,1772,0.474123016,Dexamethasone
Ppp1r3c,1773,0.453759578,Dexamethasone
Foxo1,1740,0.012647535,Dexamethasone
Foxo1,1741,0.013555292,Water
Foxo1,1742,0.03018551,Water
Foxo1,1743,0.016862941,Dexamethasone
Foxo1,1770,0.015303442,Water
Foxo1,1771,0.016980232,Water
Foxo1,1772,0.024264652,Dexamethasone
Foxo1,1773,0.029360086,Dexamethasone
Foxo3,1740,0.002498019,Dexamethasone
Foxo3,1741,0.00109869,Water
Foxo3,1742,0.007687161,Water
Foxo3,1743,0.000555086,Dexamethasone
Foxo3,1770,0.007598867,Water
Foxo3,1771,0.015303442,Water
Foxo3,1772,0.001355775,Dexamethasone
Foxo3,1773,0.005640348,Dexamethasone
Psmd1,1740,0.02683017,Dexamethasone
Psmd1,1741,0.004825854,Water
Psmd1,1742,0.049036506,Water
Psmd1,1743,0.01573368,Dexamethasone
Psmd1,1770,0.020333466,Water
Psmd1,1771,0.056719947,Water
Psmd1,1772,0.016345077,Dexamethasone
Psmd1,1773,0.010972226,Dexamethasone
Psmd8,1740,0.323088208,Dexamethasone
Psmd8,1741,0.062283766,Water
Psmd8,1742,0.168988854,Water
Psmd8,1743,0.241484082,Dexamethasone
Psmd8,1770,0.141120551,Water
Psmd8,1771,0.200267469,Water
Psmd8,1772,0.160985204,Dexamethasone
Psmd8,1773,0.43077308,Dexamethasone
