Group,Experiment,Pnpla2
Pre-Adipocytes,1,1
Mature Adipocytes,1,189.3616012
Mature Adipocytes + Dexamethasone,1,699.4126115
Pre-Adipocytes,2,1
Mature Adipocytes,2,181.019336
Mature Adipocytes + Dexamethasone,2,405.9054779
Mature Adipocytes,3,0.304592713
Mature Adipocytes + Dexamethasone,3,0.812178458
Mature Adipocytes,4,0.331268592
Mature Adipocytes + Dexamethasone,4,0.897260828
Mature Adipocytes,5,0.180106939
Mature Adipocytes + Dexamethasone,5,0.425792566
