HFD_1	HFD_3	HFD_2	CHD_1	CHD_3	CHD_2
Xkr4	17.0376666773545	20.2388016953876	14.8462344013228	3.71425970870388	2.17295258039431	11.258224648266
Gm18956	3.58687719523253	0	0.674828836423765	0	5.43238145098577	0
Gm37180	10.7606315856976	2.24875574393195	4.72380185496636	14.8570388348155	1.08647629019715	10.1324021834394
Gm37363	2.6901578964244	7.87064510376184	2.0244865092713	4.95234627827184	3.25942887059146	4.50328985930641
Gm37686	0.896719298808133	1.12437787196598	2.69931534569506	1.23808656956796	0	3.3774673944798
Gm37329	4.48359649404067	1.12437787196598	1.34965767284753	4.95234627827184	0	6.75493478895961
Gm38148	3.58687719523253	1.12437787196598	4.04897301854259	4.95234627827184	0	13.5098695779192
Gm19938	12.5540701833139	14.6169123355577	16.1958920741704	54.4758090609902	4.34590516078861	56.2911232413301
Gm37381	0	0	0	2.47617313913592	0	12.3840471130926
Rp1	0.896719298808133	0	7.42311720066142	35.9045105174708	0	57.4169457061567
Sox17	489.608737149241	401.402900291854	448.761176221804	122.570570387228	42.372575317689	191.389819020522
Gm37587	2.6901578964244	2.24875574393195	4.72380185496636	0	0	5.62911232413301
Gm6085	19.7278245737789	30.3582025430814	30.3672976390694	50.7615493522863	64.102101121632	48.4103659875439
Gm6119	1.79343859761627	3.37313361589793	2.0244865092713	1.23808656956796	0	3.3774673944798
Gm6123	7.17375439046507	5.62188935982989	5.39863069139012	43.3330299348786	41.2860990274918	14.6356920427458
Mrpl15	811.530965421361	966.96496989074	728.815143337667	616.567111644844	2093.63981120991	509.997576566451
Gm37144	2.6901578964244	1.12437787196598	1.34965767284753	9.90469255654367	2.17295258039431	10.1324021834394
Lypla1	719.168877644123	854.527182694143	805.745630689976	593.043466823052	1487.3860412799	712.645620235239
Tcea1	351.513965132788	355.303407541249	306.372291736389	210.474716826553	476.96309139655	320.859402475581
Gm37277	4.48359649404067	14.6169123355577	1.34965767284753	7.42851941740775	4.34590516078861	16.887336972399
Rgs20	2.6901578964244	0	3.37414418211883	0	0	2.2516449296532
Atp6v1h	1145.11054457799	1462.81561142774	1083.10028246014	931.041100315105	2383.72898069255	1036.8824901053
Rb1cc1	1355.8395797979	1264.92510596172	1368.5528802674	1114.27791261116	1070.1791458442	1573.89980582759
4732440D04Rik	67.25394741061	55.0945157263329	81.6542892072756	117.618224108956	40.1996227372947	115.95971387714
St18	13.450789482122	0	20.9196939291367	1.23808656956796	1.08647629019715	1.1258224648266
Gm37108	15.2442280797383	17.9900459514556	8.09794603708518	2.47617313913592	17.3836206431545	11.258224648266
Pcmtd1	1168.425246347	1207.58183449146	1170.82803119523	1179.89650079826	1655.78986626046	1335.22544328435
Gm38372	7.17375439046507	5.62188935982989	10.1224325463565	29.714077669631	6.51885774118292	31.5230290151448
Gm26901	8.0704736892732	6.74626723179586	6.07345952781389	33.4283373783349	13.0377154823658	18.0131594372256
Gm30414	3.58687719523253	0	0.674828836423765	3.71425970870388	0	10.1324021834394
Rps2-ps2	0	3.37313361589793	1.34965767284753	1.23808656956796	2.17295258039431	3.3774673944798
Sntg1	2.6901578964244	0	4.72380185496636	21.0474716826553	0	12.3840471130926
Gm36964	8.0704736892732	3.37313361589793	8.09794603708518	7.42851941740775	10.8647629019715	2.2516449296532
Gm24276	14.3475087809301	33.7313361589793	8.77277487350895	21.0474716826553	54.3238145098577	12.3840471130926
Gm37629	0	0	2.69931534569506	49.5234627827184	4.34590516078861	27.0197391558384
Gm18300	1.79343859761627	1.12437787196598	2.69931534569506	2.47617313913592	0	3.3774673944798
Rrs1	290.537052813835	274.348200759698	213.920741146334	283.521824431063	610.5996750908	319.733580010755
Adhfe1	1363.01333418836	1412.21860718927	764.581071668126	1007.80246762832	3468.03231830931	1347.60949039744
2610203C22Rik	51.1130000320636	52.8457599824009	118.095046374159	90.380319578461	23.9024783843374	159.866790005377
Gm6161	2.6901578964244	0	0	13.6189522652475	0	24.7680942261852
Vxn	0.896719298808133	0	0.674828836423765	3.71425970870388	0	5.62911232413301
Mybl1	13.450789482122	23.6119353112855	20.244865092713	45.8092030740145	28.248383545126	34.9004964096246
Vcpip1	450.153088001683	409.273545395616	531.090294265503	444.473078474897	664.923489600658	460.46138811408
1700034P13Rik	6.27703509165693	5.62188935982989	9.44760370993271	9.90469255654367	34.7672412863089	12.3840471130926
Sgk3	176.653701865202	212.50741780157	327.291985665526	378.854490287795	341.153555121906	431.190004028588
Mcmdc2	0.896719298808133	3.37313361589793	4.04897301854259	7.42851941740775	0	3.3774673944798
Snhg6	849.193175971302	1009.69132902545	539.188240302588	221.617495952665	2345.70231053565	118.211358806793
Tcf24	1.79343859761627	2.24875574393195	5.39863069139012	4.95234627827184	6.51885774118292	3.3774673944798
Ppp1r42	5.3803157928488	0	0	1.23808656956796	0	9.00657971861281
Cops5	1175.59900073746	1510.03948205031	899.546838952879	674.757180414538	2668.38576872421	779.069145660008
Cspp1	443.876052910026	443.004881554595	461.582924113855	1233.13422328969	361.796604635652	1564.89322610898
