gene	category	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mean_norm_CHD	mean_norm_HFD	detected	bayes_P_HFD_gt_CHD	bayes_ER	bayes_CrI_lo	bayes_CrI_hi
Atf3	AP-1	161.783243495302	1.93124332983948	0.715377625847062	2.69961382640775	0.00694200038300465	0.0530336540887681	67.2084812501908	256.358005740413	TRUE	0.985940839945367	70.1280045261649	0.137117586050044	2.41783393264745
Atf4	AP-1	2847.15904507589	-0.574826245877639	0.403135883914845	-1.42588707384595	0.15390094117562	0.386473514164236	3406.76167463296	2287.55641551882	TRUE	0.0930061711558764	0.102543334031725	-1.22729016899459	0.238357561635546
Batf	AP-1	12.3071054625101	2.16742886842423	1.41952897585595	1.52686483001681	0.126794626642828	0.345564448441668	4.53965075508252	20.0745601699376	TRUE	0.810389109681686	4.27395867569224	-0.883434352039482	2.32116830207677
Batf3	AP-1	125.394487465046	-0.0980278141803788	0.660299885414445	-0.148459535350139	0.881980118135066	0.952941882751306	129.690489659095	121.098485270997	TRUE	0.45070172316685	0.820504527640729	-1.14823721296999	1.01170783772593
Ddit3	AP-1	625.42727758469	1.0512111841381	0.42912516155307	2.44966102741121	0.014299075695009	0.0869919566666158	407.091547704488	843.763007464892	TRUE	0.987811733248918	81.0461202911585	0.114825875626566	1.66064615193418
Fos	AP-1	187.410487033455	1.86559432252567	0.642349297216604	2.90432998153741	0.00368040034615039	0.0344611357827194	80.8314112187902	293.989562848119	TRUE	0.992729718096255	136.546248307772	0.261396685525056	2.37994220185959
Fosl1	AP-1	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Fosl2	AP-1	910.538801882904	-0.111568430553182	0.414720927051643	-0.269020498546698	0.787913908408377	0.909557405103029	945.8996790661	875.177924699709	TRUE	0.401874584406252	0.671890165388337	-0.846025150213458	0.655634272505193
Jun	AP-1	686.00314084762	0.206228010141339	0.437250387180763	0.471647404296255	0.637178484568147	0.827052218033465	636.956137795265	735.050143899975	TRUE	0.667181196317108	2.00463792590516	-0.612086195565645	0.958342247952807
Junb	AP-1	86.8502439239239	1.92712073471514	0.571642641784079	3.37119835689769	0.000748419491017008	0.0115606176864775	36.2511570261524	137.449330821695	TRUE	0.998287379129604	582.90039341793	0.479795591834488	2.42517365250855
Jund	AP-1	512.009905134054	0.37735847274088	0.566506471263511	0.666115025834102	0.505337581018338	0.739710636603895	445.238411354205	578.781398913903	TRUE	0.718899260941469	2.55744351064043	-0.680403643648035	1.2517565422246
Dmrt1	artifact_check	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Dmrt2	artifact_check	1059.95421358864	-1.69850474842962	0.773991288836149	-2.19447527760121	0.0282012593561777	0.134914277162685	1620.44773923349	499.460687943785	TRUE	0.0413355636353055	0.043117864882995	-2.26182922627392	0.137453559543593
