Outcome,Interaction Estimate,p.value
Glucose,-0.76 (-7.40–5.87),0.8213842517786711
HbA1c,0.47 (-0.64–1.57),0.4071892252181004
ALT,36.15 (21.38–50.93),1.7311487539821078e-6
LDL-C,48.29 (-3.77–100.34),0.07141474592901524
Mean Arterial Pressure,-4.61 (-17.40–8.18),0.4802756175866314
Systolic Blood Pressure,-6.38 (-10.77–-2.00),0.004349236159881477
Diastolic Blood Pressure,-4.81 (-7.73–-1.88),0.001282932455399438
