Group,Controls,Cushing's
Age,45.85 ± 14.86,46.29 ± 15.52
BMI,29.44 ± 7.48,34.67 ± 13.82
Female,"12,838 (81.04%)",284 (79.78%)
Male,"3,003 (18.96%)",72 (20.22%)
White,"13,713 (86.57%)",311 (87.36%)
Black,619  (3.91%),19  (5.34%)
Hispanic or Latino,709  (4.48%),9  (2.53%)
Other,354  (2.23%),9  (2.53%)
Asian,446  (2.82%),8  (2.25%)
