Group,Controls,Cushing's
Age,44.79 ± 15.52,46.30 ± 15.52
BMI,29.33 ± 7.46,34.72 ± 13.83
Female,"6,971 (81.17%)",284 (79.78%)
Male,"1,617 (18.83%)",72 (20.22%)
White,"7,406 (86.24%)",310 (87.08%)
Black,399  (4.65%),19  (5.34%)
Hispanic or Latino,381  (4.44%),10  (2.81%)
Other,208  (2.42%),9  (2.53%)
Asian,194  (2.26%),8  (2.25%)
