Group,Controls,Cushing's
Age,41.78 ± 15.53,44.40 ± 17.11
BMI,30.19 ± 8.91,38.13 ± 14.28
Female,104 (83.87%),9 (90.00%)
Male,20 (16.13%),1 (10.00%)
White,124 (100.00%),10 (100.00%)
