Group,Controls,Cushing's
Age,47.81 ± 15.02,45.74 ± 17.68
BMI,29.89 ± 7.68,33.53 ± 9.36
Female,"1,630 (84.68%)",67 (79.76%)
Male,295 (15.32%),17 (20.24%)
White,"1,797 (93.35%)",73 (86.90%)
Black,42  (2.18%),4  (4.76%)
Hispanic or Latino,60  (3.12%),4  (4.76%)
Other,18  (0.94%),2  (2.38%)
Asian,8  (0.42%),1  (1.19%)
